pos	5pC>T
1	0.00284193294324794
2	0.00484313500423959
3	0.00400811072760283
4	0.00395343130572293
5	0.00439363526965892
6	0.0049392018827804
7	0.00613627999911086
8	0.00490373817628816
9	0.00552295748497834
10	0.00569488241773408
11	0.00431212757157519
12	0.00465206022094088
13	0.00486660128718644
14	0.00505625768726228
15	0.00504012194901301
16	0.00520516655839427
17	0.00515476322813323
18	0.00527687924896293
19	0.00533826620076755
20	0.00508603265184425
21	0.00512663705071251
22	0.00508272614943794
23	0.00511206053049772
24	0.00519828616629608
25	0.00503564279945219
