pos	3pG>A
1	0.00408858263073576
2	0.00495706864033898
3	0.0042102031417899
4	0.00455306700715373
5	0.00433219328246953
6	0.00484919281993466
7	0.00569152278379072
8	0.00494475511251587
9	0.00524692336132678
10	0.00550023805130518
11	0.00492169277947218
12	0.00492058349515164
13	0.00511108031863862
14	0.00507526835735363
15	0.00517094932533605
16	0.00511928847061257
17	0.00505270849676012
18	0.00527286936839067
19	0.00513405590416429
20	0.00500376436877282
21	0.00512346553656306
22	0.00510184889628318
23	0.00525761454088821
24	0.00514727865568494
25	0.00544009575259879
