pos	5pC>T
1	0.00279057029330198
2	0.00481063870617617
3	0.00390338337985361
4	0.00405627535592454
5	0.00425764467042387
6	0.00503075330324839
7	0.00609070587336261
8	0.00490736170072729
9	0.00540954197036795
10	0.00586539853562451
11	0.00451495401138672
12	0.00467846015902411
13	0.00500017456493657
14	0.00504107144588946
15	0.00510654697862637
16	0.00508672895777354
17	0.00525736397040481
18	0.00522159338611342
19	0.00515679141981
20	0.0050541271016952
21	0.00521695062754529
22	0.00515258468331926
23	0.00502756388475668
24	0.00520346218411803
25	0.00526585386757235
