pos	5pC>T
1	0.00256205607741357
2	0.00510034796961958
3	0.00387697244383353
4	0.00405143161932431
5	0.00427245722986832
6	0.00483011666510801
7	0.00611678001806011
8	0.00481358765723839
9	0.00529059917065271
10	0.00582488446873188
11	0.00455558596957729
12	0.00459484338508941
13	0.00497025468539881
14	0.00520283550684974
15	0.00517620794131717
16	0.00505103958952755
17	0.00511158699355756
18	0.00511440882181572
19	0.00520438704680114
20	0.00505357830970456
21	0.00495023553905405
22	0.0051910211261883
23	0.00500674972487888
24	0.00508518773223091
25	0.00521087588101339
