"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0160091061845606,0.00335128665598243,9.26656376734087e-06,0.240714152596736,0.558155540937731,-34577.8282867416
"Std.",3.31736937607978e-05,4.2641022956389e-05,9.10314855374042e-06,0.0136841211528005,0.00144730393354463,1.7185166127213
"Acceptance ratio",0.15248,0.12144,0.10454,0.1652,0.2564,0.58546
"0%",0.0158716953548968,0.00315233709647504,3.25777314030303e-10,0.195530946900338,0.552039390856561,-34592.3782392735
"2.5%",0.0159434263096119,0.003269254725924,2.61349276082094e-07,0.214238908252783,0.555328759397046,-34582.0012813719
"5%",0.0159538133297781,0.00328385483573058,5.42548449811408e-07,0.218443566996431,0.555752200221858,-34581.0917739643
"7.5%",0.0159609765941387,0.00329021710109934,7.90980078286455e-07,0.22139182070466,0.556063010904289,-34580.5090631597
"10%",0.0159674183427994,0.00329756740669822,9.92883098920138e-07,0.223656851535648,0.556286725601809,-34580.0636917189
"12.5%",0.0159715533494401,0.00330345983397008,1.24817640058667e-06,0.225229815509601,0.556501195465194,-34579.7469100828
"15%",0.0159759759534283,0.00330778330057546,1.50705895252251e-06,0.226566932694286,0.556679133438539,-34579.498805119
"17.5%",0.0159788841483734,0.00331214216634671,1.76470669805282e-06,0.227985316582175,0.556825491149432,-34579.2817184306
"20%",0.0159819185870299,0.00331571328047833,2.13509426612022e-06,0.229228333512462,0.556958819903643,-34579.0930733969
"22.5%",0.0159847535011277,0.00331919984959222,2.42080638229096e-06,0.230538005782277,0.557090300817398,-34578.9114489728
"25%",0.015987374785087,0.00332223784115141,2.76436906062104e-06,0.231716542897432,0.557210140063707,-34578.7460823675
"27.5%",0.0159898186656032,0.00332542480485873,3.10987292699431e-06,0.23265546304408,0.557326051477883,-34578.5860235517
"30%",0.0159920982597298,0.00332847567437696,3.40048355968297e-06,0.233486315811364,0.55741941772192,-34578.4496874631
"32.5%",0.015994393863532,0.00333148654448721,3.69292807965182e-06,0.234444303020245,0.557521458243028,-34578.3179419637
"35%",0.015996739557922,0.00333466065104715,4.03601981826151e-06,0.235200491546189,0.557614740233477,-34578.1909361319
"37.5%",0.0159987445583171,0.00333771925764881,4.42902599009093e-06,0.236024315916703,0.557705920081445,-34578.0667732492
"40%",0.0160005333725486,0.00334010729999839,4.75293720483487e-06,0.236786995151952,0.557798915433099,-34577.9460192676
"42.5%",0.0160027799814174,0.00334249261977361,5.18402965237967e-06,0.237664737483972,0.557886177657915,-34577.8258643882
"45%",0.0160048612238492,0.00334512316913864,5.62342099203631e-06,0.238571327245552,0.557981640584412,-34577.7212050095
"47.5%",0.0160068628885446,0.00334802393589998,6.0652125925124e-06,0.239510624000242,0.558063213263569,-34577.6101706022
"50%",0.016008848587885,0.00334989328762416,6.58449101000368e-06,0.240368703680213,0.55815768958763,-34577.5047304142
"52.5%",0.0160108348336671,0.00335280533729028,6.91320971818637e-06,0.24121967388976,0.558249832599026,-34577.4060572
"55%",0.0160127050221181,0.00335592200260981,7.37640627558038e-06,0.242101296416667,0.558342662998635,-34577.3077514988
"57.5%",0.0160149426967351,0.00335844837575817,7.89320172172217e-06,0.24295318010905,0.558420662167387,-34577.2095192171
"60%",0.0160164345038833,0.00336080152230179,8.48320155831034e-06,0.243915953955516,0.558505489480465,-34577.1169472909
"62.5%",0.0160186001043079,0.00336397160231748,9.10416850148154e-06,0.244839780100693,0.558595540259564,-34577.0304584223
"65%",0.0160209141860635,0.00336672063650588,9.70772563082215e-06,0.245770160690828,0.558679346885329,-34576.9361115792
"67.5%",0.0160235607162382,0.00336980258820317,1.04299830288932e-05,0.24661606250418,0.558777523171587,-34576.8430468362
"70%",0.0160258023610645,0.00337246100508393,1.11605766438865e-05,0.247789802142182,0.558883023399373,-34576.7516296538
"72.5%",0.0160283801917875,0.0033759860769158,1.19459130863931e-05,0.248723580277692,0.558995511834773,-34576.6542008318
"75%",0.0160311880550094,0.0033798699876771,1.29314620955955e-05,0.249774507493743,0.559105738975884,-34576.5677390548
"77.5%",0.016034043985297,0.0033840686635284,1.38813003728775e-05,0.250918657673276,0.559245627687467,-34576.4829172293
"80%",0.016036861773548,0.00338705049408071,1.49877371371685e-05,0.252324266419961,0.559369002715589,-34576.3867118111
"82.5%",0.0160399742245931,0.00339074700947547,1.61591952289532e-05,0.253797556695691,0.559496130238905,-34576.2933091855
"85%",0.0160442346840734,0.00339496975155768,1.75283929950136e-05,0.254963561202692,0.559639842426889,-34576.1837399439
"87.5%",0.0160473141079097,0.0033995734639008,1.93264896428225e-05,0.256817482521063,0.559805991738129,-34576.0761707401
"90%",0.0160520134559498,0.00340651740447171,2.13521442201323e-05,0.258353111423464,0.560001432058078,-34575.9535511163
"92.5%",0.0160569418978775,0.00341270086377611,2.37046506270818e-05,0.260347930378708,0.56023282420005,-34575.8209198458
"95%",0.0160643598404784,0.00342143650186548,2.76760142124409e-05,0.26333085146752,0.560518749994011,-34575.668308075
"97.5%",0.0160750470056251,0.00343764211612024,3.39459652588595e-05,0.267857035650513,0.561048047763707,-34575.4613301496
"100%",0.0161515753003173,0.00349879807228577,7.94766936585386e-05,0.293402075416351,0.563865297675083,-34574.9031652111
