"","Position","C.T","G.A"
"1",1,0.203106651904443,0.246246080857535
"2",2,0.22666218029016,0.272013225691868
"3",3,0.240549626379673,0.293105723872175
"4",4,0.252184667094159,0.307105567361981
"5",5,0.266233631025127,0.312665050402763
"6",6,0.281443180348111,0.312420109750791
"7",7,0.297269536476844,0.307753292454945
"8",8,0.307812558083262,0.305200276511979
"9",9,0.312656900333621,0.306285972844738
"10",10,0.311179825552421,0.312278908934212
"11",11,0.30752182914163,0.319228762333
"12",12,0.304785268399749,0.3243549015298
"13",-12,0.314675639870746,0.314757028069654
"14",-11,0.313310376985889,0.313547702803366
"15",-10,0.310314911595118,0.313137751123284
"16",-9,0.306574669366272,0.31236513096911
"17",-8,0.304342049056865,0.308657614308207
"18",-7,0.30309171018624,0.30201686871245
"19",-6,0.301842360913657,0.292670595525234
"20",-5,0.297536734261988,0.282766717383819
"21",-4,0.289426676279096,0.271790132588193
"22",-3,0.275355394630028,0.260070097193467
"23",-2,0.255067886533637,0.244946744775513
"24",-1,0.22853597068853,0.22202313510221
