pos	5pC>T
1	0.023029235506204
2	0.0351092458222899
3	0.0198158194452313
4	0.0174501009783093
5	0.0165008106990629
6	0.0199514197758088
7	0.020364451073084
8	0.0170942898914812
9	0.0175278385112117
10	0.0184785533212466
11	0.0155344956896846
12	0.0164148881057422
13	0.0171904864113493
14	0.017870347291459
15	0.0179692036066287
16	0.0178558963111915
17	0.0171729828374156
18	0.0176152087594754
19	0.0171713642525985
20	0.0171791816977564
21	0.0174466512932171
22	0.0173989326705168
23	0.017244779984011
24	0.0178736863974696
25	0.0177522328250756
