"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0161070312859599,0.00327613410846186,9.19184486531962e-06,0.234279161100155,0.566444716340818,-26964.8531133473
"Std.",4.06818407720045e-05,4.8036116771298e-05,9.1469904595166e-06,0.0138198614945163,0.00176298101783292,1.74129978239505
"Acceptance ratio",0.1787,0.14398,0.19612,0.17768,0.30078,0.67364
"0%",0.0159722330750919,0.0030969008685672,2.61891519876887e-09,0.18033929051531,0.56005309314912,-26976.3032541049
"2.5%",0.0160282038233575,0.00318346607703826,2.36527768666182e-07,0.208339727328316,0.562987659454202,-26969.0576511214
"5%",0.0160416827459627,0.00319834844567844,4.50953488373219e-07,0.212180987899776,0.563515533192651,-26968.1516284123
"7.5%",0.0160487782676832,0.00320781409418157,7.04431578964068e-07,0.214575547054191,0.563890341640144,-26967.585070598
"10%",0.0160547293336373,0.00321553616529868,9.83884825772803e-07,0.216321830077375,0.56420010759064,-26967.2072950659
"12.5%",0.016060401722513,0.00322159268995423,1.24284932920621e-06,0.218157033704285,0.564418364655491,-26966.8796023045
"15%",0.0160644448706586,0.00322665761991071,1.44569832985102e-06,0.219729729097978,0.564626927249047,-26966.6043406865
"17.5%",0.0160689282695146,0.00323221491700458,1.7245547561148e-06,0.221174808797492,0.564789929939591,-26966.3627973229
"20%",0.0160725753835189,0.00323644249488515,2.00249290436809e-06,0.222370349655968,0.564945436006287,-26966.1432156421
"22.5%",0.0160760813796202,0.00324004666041561,2.28935152345393e-06,0.22343176020799,0.565100344622554,-26965.9547711497
"25%",0.0160787120408366,0.00324368028188247,2.59989000886065e-06,0.224483748638815,0.565256242919226,-26965.7854063699
"27.5%",0.0160821788813348,0.00324729881927095,2.95370404059891e-06,0.225620132921247,0.565382035733908,-26965.6280696434
"30%",0.0160853410128819,0.00325025109251996,3.22082322157555e-06,0.226795055408809,0.565514670201669,-26965.4925996878
"32.5%",0.0160884400461535,0.00325309798399436,3.56258447696003e-06,0.227677178407189,0.565642025377862,-26965.3540738657
"35%",0.0160907803295783,0.00325628211985443,3.90416695253875e-06,0.228608362673827,0.565760096056151,-26965.2211598063
"37.5%",0.0160934345306391,0.0032593464681929,4.2902832795978e-06,0.229497513089853,0.565890952876593,-26965.0890431785
"40%",0.0160965027578526,0.00326247509514428,4.63137339008117e-06,0.23041398781301,0.566005065515088,-26964.9778741245
"42.5%",0.0160993616095192,0.00326630287713834,5.06154847842938e-06,0.231394711219559,0.566135165165413,-26964.8635705723
"45%",0.0161020895990203,0.00326947194493909,5.46758593517912e-06,0.232316660575983,0.566228223462012,-26964.753385826
"47.5%",0.0161047024635696,0.00327189931496605,5.96006015981393e-06,0.233204663840265,0.566341120859186,-26964.6479264455
"50%",0.0161067009001892,0.00327557060170985,6.32283650328032e-06,0.234172857030545,0.566458715047257,-26964.5439197561
"52.5%",0.016109077823363,0.00327887119875588,6.7386954196703e-06,0.235170303873696,0.566569531981023,-26964.4358421848
"55%",0.0161116259185867,0.00328126534979335,7.26375999524425e-06,0.23602741392997,0.566677594923681,-26964.3379337084
"57.5%",0.0161143498411982,0.0032844454454249,7.87489239732642e-06,0.236921024623851,0.56679111861533,-26964.232909291
"60%",0.0161174440964839,0.00328701024340146,8.41513740221345e-06,0.237887161901004,0.56690809322088,-26964.139377895
"62.5%",0.0161199966412972,0.00329022690441706,9.08378280474295e-06,0.238750774122124,0.567022000780589,-26964.0465214352
"65%",0.0161225075362678,0.00329400308485032,9.66294136848e-06,0.239562869010351,0.567145670253387,-26963.9526269525
"67.5%",0.0161255828113295,0.00329738532875891,1.02375949425069e-05,0.240460761303,0.56725691592818,-26963.8608454312
"70%",0.0161282509350757,0.00330079678531124,1.100795218062e-05,0.24136572552695,0.567374255991559,-26963.7609959615
"72.5%",0.0161313635926161,0.00330445850304869,1.18271182125967e-05,0.242384667431982,0.567497024335238,-26963.6660033071
"75%",0.0161345731661778,0.00330813712928579,1.28467756884789e-05,0.24337704712645,0.567638261935994,-26963.567454433
"77.5%",0.0161382039476127,0.00331256255848361,1.37734333866733e-05,0.244426959723975,0.567783623251497,-26963.4721212488
"80%",0.0161417207800938,0.00331621572377678,1.4789082326767e-05,0.245499465874257,0.567928213440526,-26963.37096858
"82.5%",0.0161455576675735,0.00332129491277603,1.61603020376034e-05,0.246837786769809,0.568096310591643,-26963.2678039307
"85%",0.0161496736086348,0.00332592829130671,1.77469989238792e-05,0.248446781851854,0.568274245103514,-26963.1579617267
"87.5%",0.0161542324453641,0.00333294089407352,1.94878858170985e-05,0.250302631606782,0.568478459115996,-26963.0420261696
"90%",0.0161596136746139,0.00333999921669378,2.14831334699699e-05,0.252203333779498,0.568697221892056,-26962.9241981246
"92.5%",0.0161664866945113,0.00334735232455848,2.39369617975775e-05,0.254591335626021,0.568950429533959,-26962.7772267271
"95%",0.0161742412764474,0.0033564061282106,2.75671948102192e-05,0.257645429839985,0.569373407311131,-26962.6299286242
"97.5%",0.0161862878842248,0.00337340699772918,3.34286132786265e-05,0.262500539725352,0.569852856494704,-26962.435170301
"100%",0.0162661506247808,0.00344713604481895,7.97447931376555e-05,0.286323742674489,0.57408496941827,-26961.9367856007
