"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0709705191697305,0.0323266322684465,8.33118296982408e-05,0.14878100380884,0.364056218722044,-27072.3847186789
"Std.",0.000143818124475419,0.000400201454801601,8.21286439979013e-05,0.00821627084985034,0.000995616760292127,1.71765764996701
"Acceptance ratio",0.18042,0.15636,0.11512,0.20168,0.20102,0.60592
"0%",0.0704386565929574,0.0311340538373881,4.61803212059677e-08,0.121366201011074,0.360209703545303,-27085.5317723637
"2.5%",0.0706867160139564,0.0315641885960007,2.18356574029562e-06,0.133843281318637,0.362124584699927,-27076.5290936465
"5%",0.0707357254796682,0.0316815681924319,4.05079459363662e-06,0.13572450897285,0.362434417106436,-27075.6197338552
"7.5%",0.0707643747067788,0.031753962678557,5.94529531579651e-06,0.137162200708071,0.362643020047055,-27075.0715588687
"10%",0.0707863675843628,0.0318028593924491,8.45700128110417e-06,0.138246918130514,0.36279706576043,-27074.6769906651
"12.5%",0.0708049332771929,0.0318541866773546,1.04934649645685e-05,0.139220509411016,0.362914417525152,-27074.3554585545
"15%",0.0708222449112093,0.0319000926810467,1.32295449775537e-05,0.140016087085791,0.363021140659981,-27074.0892648275
"17.5%",0.0708364925610984,0.0319372352100905,1.59943719047772e-05,0.140813397223528,0.363119382041891,-27073.8625826237
"20%",0.0708489175065672,0.0319747590617079,1.88108853277497e-05,0.141570866341278,0.363216002094955,-27073.6597838571
"22.5%",0.0708628264096728,0.0320084294058562,2.13435632992047e-05,0.142289364999963,0.363302737182764,-27073.4797938354
"25%",0.0708747585813317,0.0320396313325321,2.43764400262871e-05,0.142960223161793,0.363389561059956,-27073.3126634279
"27.5%",0.0708852203964031,0.0320714042494471,2.70577449300991e-05,0.143558470114738,0.363457107614953,-27073.1537704926
"30%",0.0708962427039277,0.0321036589626403,3.01909299338684e-05,0.144177439710051,0.363529868939329,-27073.0101303891
"32.5%",0.0709058501017764,0.0321365315719438,3.29548318455487e-05,0.14477098705799,0.363599186404109,-27072.8779795606
"35%",0.0709163575018079,0.032165929229453,3.5958054996546e-05,0.145388035796517,0.363663741222511,-27072.7404064346
"37.5%",0.0709267419008341,0.0321892330366444,3.90545545060768e-05,0.145885142712679,0.363736341714469,-27072.6180408212
"40%",0.0709371961366134,0.0322182503727631,4.26944750665386e-05,0.14639207826591,0.363801280774686,-27072.4941971007
"42.5%",0.0709460662729267,0.0322462666079233,4.60047951386764e-05,0.146910511055284,0.363871266856156,-27072.3841964829
"45%",0.0709548903582604,0.0322685083780165,4.95308828590263e-05,0.147486804180968,0.363933497208944,-27072.2677176817
"47.5%",0.0709634369483433,0.0322970760895057,5.36529876127279e-05,0.148068325902148,0.363989935121347,-27072.1679164238
"50%",0.0709700286318081,0.0323235681445402,5.83030374404698e-05,0.148604801912946,0.364044571959312,-27072.0619575234
"52.5%",0.0709766903598789,0.032348870871941,6.27035039789974e-05,0.149026067984186,0.364106330962761,-27071.9625769659
"55%",0.0709852019933162,0.0323731952834387,6.75416759571817e-05,0.149542656164822,0.364180948480651,-27071.8723594069
"57.5%",0.0709949842552973,0.0323987181104145,7.19303139726801e-05,0.15004474718741,0.364242910808775,-27071.7777911261
"60%",0.0710041809243322,0.032428966848284,7.7165931805365e-05,0.150626037762965,0.364302381673125,-27071.6857017042
"62.5%",0.0710136284127841,0.0324603336657436,8.40913486091205e-05,0.151239785974337,0.364361920247347,-27071.5856095145
"65%",0.0710242318524567,0.0324878044829433,8.94482802148518e-05,0.151715117587655,0.364428269366691,-27071.4921816087
"67.5%",0.0710345228955539,0.0325167746628173,9.57181353539941e-05,0.152316764551021,0.364499948841547,-27071.4019878232
"70%",0.0710442165869269,0.0325448958691759,0.000101255025607767,0.153004371659217,0.364565225040569,-27071.3052140937
"72.5%",0.0710561800232497,0.0325807974801152,0.000107362381107105,0.153769836601152,0.364650791945223,-27071.2169762518
"75%",0.0710662468560648,0.0326092840684378,0.000116132692890783,0.154592773173502,0.364724544669589,-27071.1235403157
"77.5%",0.0710784126081415,0.0326414457166542,0.000125438512317691,0.155361206083838,0.364807025106161,-27071.0248365197
"80%",0.0710920831842752,0.0326765640383277,0.000134385196838427,0.156078105653584,0.364892630482262,-27070.9332702392
"82.5%",0.0711039939586491,0.0327102337865386,0.00014520404648386,0.156879763864912,0.364987582760916,-27070.8297071956
"85%",0.07111751290307,0.0327485816156522,0.000158117439454535,0.157711527862875,0.365092269374605,-27070.7323124996
"87.5%",0.0711315226195102,0.0327959371779207,0.000174532541930096,0.15860781896694,0.365197528863452,-27070.6172250443
"90%",0.0711527362265841,0.0328503162411158,0.000192280871317112,0.159741397503489,0.365328008555248,-27070.4959339382
"92.5%",0.0711813052540796,0.032912449774762,0.000216611289053892,0.161151690452056,0.365502140041462,-27070.3669815511
"95%",0.0712115182100658,0.0329975267522512,0.000246846619872361,0.162712406226915,0.365697322697081,-27070.2091925854
"97.5%",0.0712572829212244,0.0330919928479197,0.000304711441578016,0.16495382993369,0.36602562097006,-27069.9976453918
"100%",0.071582053910818,0.0338257510487118,0.000883166106147271,0.182383535928834,0.367515933061338,-27069.4287791891
