pos	3pG>A
1	0.0413614937141473
2	0.047050661810084
3	0.0261814569215485
4	0.0219524252316145
5	0.0185468385286711
6	0.0216742155921827
7	0.0201627966209619
8	0.0185895424016069
9	0.0182590724766368
10	0.0178213992783895
11	0.0174624711405621
12	0.0172756492235819
13	0.0170215977741544
14	0.0163510303452957
15	0.0160120880221036
16	0.0164506231863573
17	0.0159083470399848
18	0.0158703558365479
19	0.0157142294105323
20	0.0158081099130174
21	0.0154902249373447
22	0.0153751220206832
23	0.015594598700242
24	0.0157967190070099
25	0.0156316936478481
