"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0161851773940303,0.00306207262953216,1.71087017155522e-05,0.269529563068122,0.572719807856947,-23529.3707211077
"Std.",4.53013280604972e-05,5.17671543273039e-05,1.65810438359328e-05,0.0204981819316837,0.00196512818476182,1.75690803310406
"Acceptance ratio",0.19906,0.15478,0.18148,0.2576,0.17506,0.6597
"0%",0.0160231805615794,0.00287838178427804,9.24741226335894e-09,0.182539920540354,0.564696057649481,-23540.4568844287
"2.5%",0.0160984839997008,0.00296425937478132,5.13190114408465e-07,0.230463328300177,0.568929843876271,-23533.729505099
"5%",0.0161103168482563,0.00297876199281601,9.28464288604717e-07,0.236557095609761,0.569480853056514,-23532.7299202023
"7.5%",0.0161193609186705,0.00298897383293019,1.46737259873302e-06,0.240261938393288,0.569916483798455,-23532.1712735379
"10%",0.0161261258834379,0.00299710161420429,1.8296024629711e-06,0.24361173948028,0.570187640890822,-23531.7273636341
"12.5%",0.0161326449985487,0.00300340514534315,2.32414830648277e-06,0.245964410627999,0.570444800202325,-23531.3721689388
"15%",0.0161375654845601,0.00300852754551362,2.99645789150241e-06,0.248012326146225,0.570699936657447,-23531.0807301092
"17.5%",0.0161420412429834,0.00301344937559229,3.49173630463521e-06,0.250229579689736,0.570912985684106,-23530.8404779747
"20%",0.0161465164343429,0.00301803283116272,4.16500272600136e-06,0.252160266288603,0.571058310873058,-23530.6429170043
"22.5%",0.0161507885719763,0.00302189955671487,4.72758604719255e-06,0.253873438308916,0.571235930061693,-23530.4503126156
"25%",0.0161545463811972,0.0030265682871008,5.31478048904303e-06,0.255520659727073,0.571382368818911,-23530.2821133409
"27.5%",0.0161582269510089,0.00303052092566849,5.94537428309142e-06,0.257230101663383,0.57151720112371,-23530.1245766967
"30%",0.0161618184903397,0.00303388276665462,6.55729191488752e-06,0.258610445836294,0.571669612053865,-23529.9735969005
"32.5%",0.0161649454387913,0.0030373825400156,7.13861561285679e-06,0.260075249555246,0.571801698785317,-23529.8292731733
"35%",0.0161674820789237,0.00304125574207117,7.76907994200501e-06,0.261582895750983,0.571948493911557,-23529.7071836376
"37.5%",0.0161706483068198,0.00304463881792251,8.45709153970492e-06,0.263017053250619,0.572063557377012,-23529.5898940259
"40%",0.0161736005486587,0.00304795892749162,9.19640978530537e-06,0.264318780043921,0.572187528396826,-23529.4712402277
"42.5%",0.0161768316301626,0.00305096439022717,9.80298474017657e-06,0.265729814345243,0.572307817816681,-23529.3556329433
"45%",0.0161795795004614,0.003054111163252,1.05450195701609e-05,0.266972789366613,0.572450902046532,-23529.2389134865
"47.5%",0.0161827193942038,0.00305768852878142,1.12941441293347e-05,0.268169256302105,0.572574551862746,-23529.134226169
"50%",0.0161858343228456,0.00306126688594853,1.21275468857016e-05,0.269369276651249,0.572693898005617,-23529.027376861
"52.5%",0.0161885790361826,0.00306446407066507,1.30424045188698e-05,0.270671396923957,0.572820355592355,-23528.9260938152
"55%",0.0161914234905168,0.00306769386656564,1.38788085564775e-05,0.271846041498261,0.572951000126906,-23528.8303071492
"57.5%",0.0161940230710365,0.0030709160833631,1.49086218132505e-05,0.273096120269837,0.573074479730208,-23528.7453237585
"60%",0.0161970011156634,0.00307467180186105,1.58743936172602e-05,0.274394091734261,0.573205234429809,-23528.6484307129
"62.5%",0.0161995552586923,0.00307849236459716,1.68191521803786e-05,0.27572906804532,0.57332106409828,-23528.5590995267
"65%",0.016202867969667,0.00308177881451586,1.79955722205941e-05,0.276998207858059,0.573469587142546,-23528.4639249208
"67.5%",0.0162056124348435,0.00308522014754207,1.91988643574894e-05,0.278268553493838,0.573609581829393,-23528.3707084054
"70%",0.0162089119504734,0.00308876333699103,2.05737106659832e-05,0.279890997059116,0.573745907682391,-23528.2735302864
"72.5%",0.016212049767903,0.00309322305712312,2.21097002154581e-05,0.281509864878866,0.573928017534037,-23528.1799601489
"75%",0.0162153708662482,0.00309705942595382,2.36220717305798e-05,0.283068181847771,0.574105053243917,-23528.0858741529
"77.5%",0.0162191168917066,0.00310064444071918,2.52953486527405e-05,0.284698752393803,0.574247424383814,-23527.9941259145
"80%",0.0162229993454732,0.00310506664292291,2.74151963895511e-05,0.286570093267059,0.57439562471509,-23527.8942651825
"82.5%",0.0162272158651247,0.00310973598852865,2.97856949880232e-05,0.288540125852661,0.57456796001856,-23527.7947431004
"85%",0.0162321568319106,0.0031148401758659,3.2384695726774e-05,0.290576355137688,0.574759735855799,-23527.684091083
"87.5%",0.0162374064341969,0.00312173472082824,3.56701062109892e-05,0.292988329620024,0.574982375887087,-23527.5760662784
"90%",0.0162439733744909,0.00312868909281631,3.90106645070155e-05,0.29582669652371,0.575246957767748,-23527.4598891338
"92.5%",0.0162514817533559,0.00313704420415942,4.31165937036171e-05,0.2995231670032,0.575555444518114,-23527.334367188
"95%",0.0162592513399727,0.00314910187572897,4.97891532634177e-05,0.304077585474601,0.575956771935876,-23527.1893138597
"97.5%",0.0162732545396896,0.00316696221844388,6.12400273527135e-05,0.310779389682992,0.576558701906,-23526.9864635062
"100%",0.0163352534275133,0.00325851159946112,0.00018145206068558,0.358898390860494,0.580195349858982,-23526.4064828197
