pos	5pC>T
1	0.0027966999280049
2	0.00500611901483861
3	0.00419344580752765
4	0.00440390950021349
5	0.00443035133571414
6	0.00489646261356641
7	0.00604766760132552
8	0.00508784617348024
9	0.00552691457397758
10	0.00619068947366285
11	0.00447368716778855
12	0.00468961096971672
13	0.00496043517278004
14	0.00502364413289577
15	0.00521523343072015
16	0.00527615986907131
17	0.00528926713635107
18	0.005262956304416
19	0.00526478786001858
20	0.00516822038998197
21	0.00526830844069471
22	0.0052797467056717
23	0.00513409861510067
24	0.00530349305256868
25	0.00530210540030594
