pos	3pG>A
1	0.00435324468332635
2	0.00510070072491928
3	0.00437091130025435
4	0.00429164902322068
5	0.00437755156250639
6	0.00510263895482788
7	0.00545888466202416
8	0.00514164416033575
9	0.00519962088759253
10	0.00526746681437249
11	0.0049474383893497
12	0.00502428574791472
13	0.0051208279380941
14	0.00527934979705357
15	0.00519552291797532
16	0.00525957036183124
17	0.00510088671733623
18	0.00526493889895586
19	0.00515543724349471
20	0.00526065707303828
21	0.00505049689330644
22	0.00502906887472665
23	0.00513674734511311
24	0.00511275442252042
25	0.005325114604143
