"","Position","C.T","G.A"
"1",1,0.185077676071815,0.212902177322421
"2",2,0.204219165407902,0.236654898262069
"3",3,0.215890728617426,0.256761179126336
"4",4,0.226182112795096,0.270590207014357
"5",5,0.239182722843661,0.276524105022723
"6",6,0.253680132682935,0.276851010892986
"7",7,0.2673624825274,0.274493352675893
"8",8,0.274497160313291,0.275900338687375
"9",9,0.277951134982009,0.27905194688325
"10",10,0.27820993555919,0.283910232635395
"11",11,0.27783349167367,0.288241162301018
"12",12,0.277528027611328,0.291613881285829
"13",-12,0.28596445659933,0.283322504928301
"14",-11,0.282828723922849,0.28332796983802
"15",-10,0.27970300652976,0.282436560766756
"16",-9,0.276349937246415,0.280639088799299
"17",-8,0.273241469178138,0.277145191927385
"18",-7,0.27034564691233,0.271548062211899
"19",-6,0.268206036475453,0.262689089546126
"20",-5,0.263518392410317,0.253086729725054
"21",-4,0.255156881747622,0.24286501802536
"22",-3,0.241708750854026,0.232009317931944
"23",-2,0.223049251444783,0.218511340139733
"24",-1,0.200103408088009,0.198377782726963
