"","Position","C.T","G.A"
"1",1,0.192696514394853,0.229397109877824
"2",2,0.216251026332173,0.254098641968532
"3",3,0.230098547761507,0.274140798462647
"4",4,0.241525256465982,0.287229087263684
"5",5,0.254859433801672,0.292272167410271
"6",6,0.268722352611469,0.292131115739805
"7",7,0.281581219909968,0.289301091777321
"8",8,0.288561880531993,0.289533080334141
"9",9,0.292101360795732,0.291319838941732
"10",10,0.29296916563682,0.294415887498196
"11",11,0.293193667109541,0.297140666848281
"12",12,0.292437128373123,0.300077610753027
"13",-12,0.29404291188853,0.29850132482377
"14",-11,0.293207939350706,0.297126571997809
"15",-10,0.291535084817124,0.295836430029939
"16",-9,0.288810178345327,0.294583508864388
"17",-8,0.286822482629381,0.291256979072427
"18",-7,0.285340505457244,0.285588499994477
"19",-6,0.284217194607632,0.27700151390482
"20",-5,0.279735355424722,0.26830267012145
"21",-4,0.27173770716259,0.258354596362788
"22",-3,0.259076421348705,0.246390510506887
"23",-2,0.24053191279351,0.230723560354194
"24",-1,0.214895490992568,0.208051522949747
