"","Position","C.T","G.A"
"1",1,0.853758017319177,0.561897530213991
"2",2,0.834539501881934,0.578525447253838
"3",3,0.812723322437446,0.600116808619643
"4",4,0.791078002753492,0.612853545826517
"5",5,0.773082515147594,0.61203720232208
"6",6,0.759335264172866,0.60230921564804
"7",7,0.747686183925977,0.591661899123314
"8",8,0.735535008016318,0.586863574502758
"9",9,0.723739740148897,0.58501816000801
"10",10,0.71213753957476,0.585882675171033
"11",11,0.70108113559955,0.588145239401635
"12",12,0.690684404275448,0.59120720521886
"13",-12,0.595388825671085,0.688146760366951
"14",-11,0.593922795821037,0.69785366703403
"15",-10,0.592546481036871,0.708710824186034
"16",-9,0.591649462359207,0.720597439501061
"17",-8,0.59304501011336,0.732810987828098
"18",-7,0.59733015609811,0.745343052718535
"19",-6,0.606212701662649,0.757755180562555
"20",-5,0.614215234612915,0.772203881408341
"21",-4,0.615187700500504,0.790262267648392
"22",-3,0.604790874281972,0.811545887718661
"23",-2,0.588456206120409,0.832821097943282
"24",-1,0.579954125588551,0.851496625915203
