"","Position","C.T","G.A"
"1",1,0.203270487632044,0.244382410713962
"2",2,0.227039476739197,0.268415390202408
"3",3,0.240565855767621,0.289410068973876
"4",4,0.25128892436117,0.304334513798959
"5",5,0.265354908333821,0.310277524622666
"6",6,0.281830895809646,0.309401572512028
"7",7,0.298535092984209,0.304407184832383
"8",8,0.308137180404846,0.303356374743475
"9",9,0.311376959806465,0.306657184612095
"10",10,0.309564008495418,0.313494547430226
"11",11,0.306915139602533,0.319895757930448
"12",12,0.304390857030592,0.32520680024867
"13",-12,0.314938044593772,0.314989811427283
"14",-11,0.314434311042952,0.312506635427221
"15",-10,0.312524454199429,0.310546458897574
"16",-9,0.309128130969735,0.308919066908475
"17",-8,0.305990000645398,0.305516956987477
"18",-7,0.303083562762573,0.299882171655374
"19",-6,0.301145053902513,0.290573398970264
"20",-5,0.296248058619866,0.280671665268398
"21",-4,0.28673159834211,0.270708909172416
"22",-3,0.272096356762138,0.259435128670681
"23",-2,0.254188342171673,0.242347218819656
"24",-1,0.232726849121717,0.215870912046125
