pos	3pG>A
1	0.0248854230595156
2	0.0354136915432905
3	0.0199976815316159
4	0.0177536454493324
5	0.0163951416877375
6	0.0197101804803564
7	0.0205902014585605
8	0.0176390575969228
9	0.0176813312681005
10	0.0189620861317248
11	0.0160699925126868
12	0.0164933994824923
13	0.0175319710217837
14	0.0177305730969765
15	0.0175316096902445
16	0.0177330338816708
17	0.0174154265608578
18	0.0171887315048546
19	0.0172195813165984
20	0.0176290730750118
21	0.0176741181064008
22	0.018149083945247
23	0.0175850860920564
24	0.0178513831870715
25	0.0179784477405647
