"","Position","C.T","G.A"
"1",1,0.195138806924428,0.235324365626866
"2",2,0.21888292188495,0.258533978998807
"3",3,0.233240180774201,0.278168026119568
"4",4,0.24531021590424,0.2914200469191
"5",5,0.259134563116978,0.297073981836138
"6",6,0.274255564397709,0.296933237972322
"7",7,0.288710760351643,0.293696302253537
"8",8,0.296493042053386,0.294202933248395
"9",9,0.299789535199205,0.297222394209534
"10",10,0.299314120304979,0.302528438049319
"11",11,0.298091007755475,0.307404378020001
"12",12,0.297834515703365,0.310459032062962
"13",-12,0.30524986442878,0.30316498816397
"14",-11,0.303826277804816,0.301735854609327
"15",-10,0.300475480325936,0.301375446610673
"16",-9,0.296387634220951,0.300611703311938
"17",-8,0.292916028978357,0.297762199041849
"18",-7,0.290092716377424,0.292330199452101
"19",-6,0.288718911875346,0.282824772719642
"20",-5,0.284726038224076,0.272408243420643
"21",-4,0.27667137441206,0.261393715362779
"22",-3,0.264001066592541,0.24864534452011
"23",-2,0.245613578985463,0.232762860005537
"24",-1,0.221127967040619,0.210324114732515
