pos	3pG>A
1	0.0207495149770089
2	0.0300110996695169
3	0.0163413809090998
4	0.0147667989366174
5	0.0133125068475354
6	0.0157162133279772
7	0.0160494100325856
8	0.0132472796890517
9	0.0136974607749427
10	0.0141878570345281
11	0.0118322191006365
12	0.0128218914696005
13	0.0138540657952708
14	0.0144633500283391
15	0.0139053318862222
16	0.014076740338819
17	0.0133980507188343
18	0.0134256447911247
19	0.0136924663385102
20	0.0132024963247652
21	0.0135671373270866
22	0.013941339156762
23	0.0135509501477248
24	0.0137585540901855
25	0.0141836448233887
