pos	3pG>A
1	0.026016288071667
2	0.0358759490107031
3	0.0196555053128065
4	0.0180072374136314
5	0.0165748593916785
6	0.0200008998065416
7	0.0206220924309824
8	0.0177436286589268
9	0.0175487584324024
10	0.0191906713002053
11	0.0158009749537737
12	0.0161754665761529
13	0.0168866092893861
14	0.0175300199414035
15	0.0168492217174655
16	0.0170641755977976
17	0.0171293771293111
18	0.016783764944604
19	0.0167172511758318
20	0.0167914865292241
21	0.0170980572342797
22	0.0172233370370985
23	0.0171719288441837
24	0.0169999672754825
25	0.0169164914464077
