"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0160511474818791,0.00314582522288286,9.91652359543828e-06,0.229074285560136,0.581101408325507,-29452.0568352711
"Std.",3.95175574605907e-05,4.74177904457373e-05,9.64331287274006e-06,0.0142959605410439,0.00175240136912917,1.75116036137758
"Acceptance ratio",0.172,0.13936,0.10916,0.17734,0.15692,0.55978
"0%",0.0159016497972457,0.00298626001061759,2.7530308127572e-09,0.177698020342646,0.574528212279907,-29464.4273899992
"2.5%",0.0159735177449888,0.00305470603766573,2.27836759284511e-07,0.20151166178771,0.577714502528159,-29456.3212585099
"5%",0.0159858410369156,0.00306994203766707,6.18251423124485e-07,0.205824981455095,0.578197698290879,-29455.3754271485
"7.5%",0.015993068364679,0.00307888409808256,9.58924985638682e-07,0.208468563645507,0.578569617945595,-29454.8138325687
"10%",0.0159997661293396,0.00308573679612893,1.21912579413681e-06,0.21079682474021,0.578816058946389,-29454.4110303425
"12.5%",0.0160048535307232,0.00309195181823137,1.50402373663731e-06,0.212654864520447,0.579060081668025,-29454.0787646863
"15%",0.0160094984950192,0.00309694613757446,1.80626949403767e-06,0.214366877529377,0.579260968792222,-29453.7965628563
"17.5%",0.016013945742077,0.00310124627368484,2.08136550803231e-06,0.21569732717213,0.579426071933199,-29453.5713320582
"20%",0.0160175801963492,0.0031056377966512,2.35225573501748e-06,0.217046344456644,0.579602789728458,-29453.3544980266
"22.5%",0.0160212345274822,0.00311067634738993,2.70353050480633e-06,0.218444264671806,0.579762262888696,-29453.1749442538
"25%",0.0160244471440759,0.00311429788439635,3.01795337732041e-06,0.219328303921929,0.579910572855168,-29453.0029014921
"27.5%",0.0160271096153612,0.00311799596708482,3.30132650110037e-06,0.220286994319911,0.580055358998104,-29452.8524778729
"30%",0.0160302581816425,0.00312147740476105,3.59501130074253e-06,0.221458904577141,0.580182786187052,-29452.6980694458
"32.5%",0.0160331115161636,0.00312436596803775,3.90195359996753e-06,0.222534778334085,0.580302213920492,-29452.5644489853
"35%",0.0160358978569413,0.0031270536017986,4.30969163605596e-06,0.22348947784533,0.58040631615859,-29452.4312755533
"37.5%",0.016038805888791,0.00312975654503653,4.74519417578091e-06,0.224426175881279,0.580525439543395,-29452.3062864428
"40%",0.0160411102397706,0.00313274195317303,5.21242075428702e-06,0.225403100990613,0.580646578102015,-29452.1847324382
"42.5%",0.0160436074782453,0.00313552728560041,5.5851825416468e-06,0.226257598599343,0.580751707274984,-29452.0689641296
"45%",0.0160461790034081,0.00313821684024802,5.91902909706931e-06,0.227269163270851,0.580870088566032,-29451.9550895064
"47.5%",0.016048795545696,0.00314134547827126,6.35603861420078e-06,0.228121124148248,0.580965216244644,-29451.8458166055
"50%",0.0160514466043885,0.00314403235094638,6.8813166271189e-06,0.228929296878677,0.581078884736018,-29451.7432202765
"52.5%",0.0160540406272025,0.0031473481463898,7.38622304346764e-06,0.2296965369945,0.581195131259723,-29451.6423624805
"55%",0.0160562871209235,0.00315023483108386,7.9654273148424e-06,0.23062497195782,0.581313476971676,-29451.5368918267
"57.5%",0.0160587832461676,0.00315298325788304,8.62750794271034e-06,0.231492889661487,0.581429176422068,-29451.4426462929
"60%",0.0160614605994321,0.00315678832606263,9.25694508017588e-06,0.232353005763125,0.581549649621571,-29451.334483671
"62.5%",0.0160639809786064,0.0031598348961218,9.94122125098011e-06,0.233310490563246,0.58166522121785,-29451.2356129661
"65%",0.01606675239488,0.00316264803500819,1.07397863286557e-05,0.234151003570244,0.581778885090046,-29451.1434533927
"67.5%",0.0160686220952334,0.00316616972643615,1.14051047415735e-05,0.235275447506978,0.581903599127608,-29451.0475315109
"70%",0.0160717381880143,0.00316918422941356,1.21731581793675e-05,0.2362807370234,0.582021963976593,-29450.9546239258
"72.5%",0.0160749490622396,0.00317324280545517,1.29508665000658e-05,0.237319224792024,0.582154777329296,-29450.8629514592
"75%",0.0160779913009498,0.00317703186050842,1.38275945226042e-05,0.238343099154645,0.58232131517707,-29450.7667289736
"77.5%",0.0160814771664286,0.00318082611021326,1.49114368356386e-05,0.239484484711888,0.582445024049581,-29450.6710281071
"80%",0.0160850107159158,0.00318517953909676,1.59007526089715e-05,0.240890737121566,0.582572136037944,-29450.5699607993
"82.5%",0.0160886903105239,0.00318988281315819,1.70792197602704e-05,0.242357167257777,0.582749912497276,-29450.4736306595
"85%",0.0160929531091409,0.00319549421092675,1.8473915564995e-05,0.243916336849842,0.582943936590569,-29450.3531901284
"87.5%",0.0160975933735412,0.0032025693677451,2.0316043096797e-05,0.245643049374842,0.583134900983887,-29450.2332356913
"90%",0.0161031620872812,0.0032083116326204,2.23690232397346e-05,0.247553808265194,0.583355467652014,-29450.1045297458
"92.5%",0.0161091905471807,0.00321496001046744,2.52896018490838e-05,0.250068164494038,0.583607316799755,-29449.967381937
"95%",0.016116221416769,0.00322384133524375,2.89646331321206e-05,0.25332253404939,0.584010391686525,-29449.8122803637
"97.5%",0.0161273306344919,0.0032419745714439,3.58198911884053e-05,0.25783194519485,0.584605520499975,-29449.6085085913
"100%",0.0162000268121972,0.0033488931180977,0.000101126428678491,0.285823256629831,0.587764663141659,-29449.1051820236
