"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0164001474720384,0.00307502587367931,9.41145840381034e-06,0.216595734173721,0.57616411712402,-28583.5057311106
"Std.",4.04614454064533e-05,5.04664159714776e-05,9.24413249325762e-06,0.0140697595170306,0.00174840809805155,1.74309214150295
"Acceptance ratio",0.1796,0.14916,0.1063,0.17582,0.16068,0.5663
"0%",0.0162586602370897,0.00287762943418171,2.78133893494939e-09,0.170138999626365,0.568863389535913,-28595.1122915436
"2.5%",0.0163204528290272,0.00298017081810134,2.60798473939204e-07,0.189906444146844,0.572735517478744,-28587.8127810799
"5%",0.0163332344108008,0.00299373162179553,5.63131287476233e-07,0.194064792599677,0.573304319496153,-28586.8188225538
"7.5%",0.0163421942847458,0.00300292976611773,7.86568039274237e-07,0.196813215309456,0.573664923966047,-28586.2544519402
"10%",0.0163486560139243,0.00301129592875021,1.06119599236076e-06,0.198958715806984,0.573947533964852,-28585.8419796238
"12.5%",0.0163541683727207,0.00301690821459979,1.37751505927505e-06,0.20050032861734,0.574168848434037,-28585.5091877793
"15%",0.0163587117739236,0.00302296749620017,1.68733709869859e-06,0.202047794115313,0.574384738516232,-28585.2450436178
"17.5%",0.0163630710429275,0.00302770591257321,2.01022762663658e-06,0.203504204419369,0.574552471561898,-28585.0067414179
"20%",0.0163666703454029,0.00303268997465032,2.24864278992374e-06,0.204568091414245,0.574718577320301,-28584.7962305802
"22.5%",0.0163700540866174,0.0030367703789727,2.62846584599985e-06,0.205592192654732,0.574855649271091,-28584.5917735956
"25%",0.0163738043176433,0.00304092720501476,2.95097112011857e-06,0.20678828484522,0.575003548178193,-28584.4197679775
"27.5%",0.0163765179654453,0.00304477265683676,3.28783428806314e-06,0.207912755471802,0.575150130022674,-28584.2628624013
"30%",0.016379543702923,0.00304786098213926,3.62916244658258e-06,0.208912461873026,0.575267383879011,-28584.116774812
"32.5%",0.0163819572114371,0.00305127795594277,3.9239278063074e-06,0.210005919079774,0.575369562700695,-28583.9741217144
"35%",0.0163844796202514,0.00305421363108513,4.25256536202335e-06,0.211056290276914,0.575471350333416,-28583.8481363495
"37.5%",0.0163870183288543,0.00305761913070265,4.62851947060254e-06,0.211987036846003,0.575608116732514,-28583.7274681839
"40%",0.0163896182109739,0.00306121343497421,4.96701416919522e-06,0.212969630293273,0.575729124642506,-28583.6067278881
"42.5%",0.0163921711527083,0.00306403312256208,5.29718385364677e-06,0.213835525754711,0.575832110073413,-28583.4906102334
"45%",0.0163945181531081,0.00306730401096665,5.60462123315117e-06,0.214748542973407,0.575939512616921,-28583.3775492441
"47.5%",0.0163971379912417,0.00307081757228181,6.06531840625604e-06,0.215644298469949,0.576056924615144,-28583.2675941303
"50%",0.016399766143427,0.00307422513836567,6.49422342730906e-06,0.216593009465997,0.576150961635401,-28583.1673916227
"52.5%",0.0164026290545913,0.00307737951212529,7.07609992814313e-06,0.21755253976093,0.576257565085393,-28583.0618977884
"55%",0.016405081919025,0.00308085414498251,7.61092028266179e-06,0.218372048188801,0.576384748577345,-28582.9708095561
"57.5%",0.0164078058805909,0.00308447644198118,8.15213953284516e-06,0.2192438597976,0.576488145733597,-28582.8771788039
"60%",0.0164099124831301,0.00308742701673171,8.69676059235443e-06,0.220241730824025,0.576621335731632,-28582.7850266623
"62.5%",0.0164127869029091,0.00308995773900795,9.15221958742773e-06,0.221094226278182,0.57672500670609,-28582.6904617974
"65%",0.0164150454171712,0.00309354500752758,9.83043907325175e-06,0.221916914918523,0.576837727918683,-28582.5980995614
"67.5%",0.0164176328967208,0.00309683997645526,1.05288729816297e-05,0.222924232375248,0.57696548761455,-28582.5048769538
"70%",0.0164200131977076,0.0031006776562997,1.11174946056715e-05,0.223923191767541,0.577065457421659,-28582.4135046386
"72.5%",0.0164230703878055,0.00310437823847882,1.1939812837358e-05,0.224873193799468,0.57719625596055,-28582.3164532919
"75%",0.0164263852801784,0.0031083180797496,1.28099583524041e-05,0.226007287074472,0.577324292859887,-28582.2216879739
"77.5%",0.0164293863626981,0.00311244368761692,1.37683853746624e-05,0.227015570549155,0.577454498938018,-28582.1215960588
"80%",0.0164329169143209,0.00311686838464494,1.48221948947574e-05,0.228209581347911,0.577593311228367,-28582.0266009015
"82.5%",0.0164370963610136,0.00312193055004547,1.60485495408964e-05,0.22930614886757,0.577745512269705,-28581.9336243372
"85%",0.0164421882151669,0.00312676903452967,1.77760008791428e-05,0.230784496558153,0.577957333355536,-28581.828128266
"87.5%",0.0164465989696532,0.00313278608597148,1.95374135380356e-05,0.232555382599109,0.578193237958295,-28581.722588305
"90%",0.0164521885662603,0.00313969235597195,2.14189444049358e-05,0.234534311447263,0.578438129641943,-28581.6029220808
"92.5%",0.0164591242664247,0.00314812158579544,2.42641941849704e-05,0.236881363616684,0.57871730128609,-28581.477384305
"95%",0.016468375076787,0.0031590233418798,2.82007715218556e-05,0.239882140975179,0.579110682164849,-28581.3264834714
"97.5%",0.0164817482462061,0.00317699326035494,3.44041623740957e-05,0.244785347380863,0.579589257202853,-28581.1415748627
"100%",0.0165502216117878,0.00331661835304987,9.39391618253513e-05,0.275215518446372,0.582977159504469,-28580.5681777958
