pos	5pC>T
1	0.00265365798280256
2	0.00511270263141878
3	0.00397966889833601
4	0.00414358611189259
5	0.00421744643192494
6	0.00470972396852934
7	0.00615958506987159
8	0.00486449418411867
9	0.00535522060665419
10	0.00585483511468206
11	0.00436658074861349
12	0.0046486279572962
13	0.00496870105095762
14	0.00505266475916983
15	0.0049683522765943
16	0.00493748048832586
17	0.00510722011803664
18	0.00519897251075823
19	0.00511397856026711
20	0.00506470789059668
21	0.00505534713266296
22	0.00513996651180341
23	0.00508620841478664
24	0.00495885057361968
25	0.00516387383387277
