Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Bacteria_24k	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Lle-CNas_048.clmp.fp2_r2_screen	30754.0	3702.0	2574.0	1434.0	726.0	445.0	236.0	185.0	7.0	0.0	147669.0	2015695.0
Lle-CNas_049.clmp.fp2_r1_screen	20665.0	2248.0	1688.0	1052.0	449.0	296.0	171.0	118.0	4.0	0.0	99471.0	1419931.0
Lle-CNas_049.clmp.fp2_r2_screen	20944.0	2233.0	1815.0	1066.0	462.0	273.0	194.0	129.0	0.0	0.0	100128.0	1418849.0
Lle-CNas_050.clmp.fp2_r1_screen	32206.0	3511.0	2713.0	1405.0	803.0	497.0	313.0	188.0	17.0	0.0	167701.0	1994363.0
Lle-CNas_050.clmp.fp2_r2_screen	32821.0	3559.0	2769.0	1375.0	814.0	488.0	295.0	189.0	5.0	0.0	168802.0	1992600.0
Lle-CNas_051.clmp.fp2_r1_screen	24751.0	3054.0	2142.0	1291.0	507.0	387.0	194.0	277.0	5.0	0.0	126767.0	1731194.0
Lle-CNas_051.clmp.fp2_r2_screen	25739.0	3099.0	2072.0	1229.0	502.0	341.0	212.0	312.0	3.0	0.0	128513.0	1728547.0
Lle-CNas_052.clmp.fp2_r1_screen	13667.0	1434.0	1223.0	672.0	376.0	200.0	140.0	120.0	6.0	0.0	79099.0	924523.0
Lle-CNas_052.clmp.fp2_r2_screen	13981.0	1442.0	1154.0	660.0	369.0	172.0	140.0	110.0	2.0	0.0	80031.0	923399.0
Lle-CNas_053.clmp.fp2_r1_screen	30566.0	3296.0	2507.0	1381.0	564.0	526.0	246.0	254.0	10.0	0.0	153389.0	2101763.0
Lle-CNas_053.clmp.fp2_r2_screen	31354.0	3276.0	2582.0	1478.0	557.0	399.0	258.0	248.0	7.0	0.0	154874.0	2099469.0
Lle-CNas_054.clmp.fp2_r1_screen	49846.0	5802.0	4253.0	2473.0	1064.0	724.0	370.0	416.0	17.0	0.0	314906.0	3002765.0
Lle-CNas_054.clmp.fp2_r2_screen	51288.0	5771.0	4225.0	2424.0	1009.0	639.0	353.0	400.0	16.0	0.0	316790.0	2999721.0
Lle-CNas_055.clmp.fp2_r1_screen	27108.0	3414.0	2311.0	1248.0	747.0	389.0	225.0	157.0	4.0	1.0	140073.0	1765499.0
Lle-CNas_055.clmp.fp2_r2_screen	27951.0	3367.0	2349.0	1277.0	742.0	350.0	252.0	146.0	1.0	0.0	140989.0	1763752.0
Lle-CNas_056.clmp.fp2_r1_screen	68891.0	8794.0	6077.0	3709.0	1554.0	969.0	626.0	560.0	18.0	0.0	407823.0	4577486.0
Lle-CNas_056.clmp.fp2_r2_screen	71065.0	8452.0	5981.0	3634.0	1580.0	957.0	601.0	575.0	20.0	0.0	413771.0	4569871.0
Lle-CNas_057.clmp.fp2_r1_screen	31560.0	3772.0	2726.0	1535.0	729.0	455.0	251.0	192.0	7.0	0.0	157971.0	2133331.0
Lle-CNas_057.clmp.fp2_r2_screen	31780.0	3790.0	2713.0	1507.0	800.0	426.0	303.0	190.0	3.0	0.0	159086.0	2131931.0
Lle-CNas_058.clmp.fp2_r1_screen	33500.0	4331.0	2824.0	1578.0	684.0	489.0	276.0	204.0	16.0	0.0	172316.0	2093798.0
Lle-CNas_058.clmp.fp2_r2_screen	34056.0	4233.0	2883.0	1634.0	711.0	477.0	289.0	214.0	9.0	0.0	173560.0	2091950.0
Lle-CNas_059.clmp.fp2_r1_screen	33270.0	3728.0	2780.0	1533.0	662.0	489.0	280.0	286.0	16.0	0.0	164685.0	2298039.0
Lle-CNas_059.clmp.fp2_r2_screen	34018.0	3732.0	2780.0	1451.0	657.0	469.0	319.0	273.0	4.0	0.0	166281.0	2295784.0
Lle-CNas_060.clmp.fp2_r1_screen	23570.0	2820.0	2048.0	1131.0	549.0	343.0	195.0	156.0	10.0	0.0	113715.0	1580248.0
Lle-CNas_060.clmp.fp2_r2_screen	24601.0	2793.0	1986.0	1103.0	578.0	312.0	209.0	149.0	5.0	0.0	115389.0	1577660.0
Lle-CNas_061.clmp.fp2_r1_screen	15200.0	2687.0	1321.0	779.0	399.0	228.0	138.0	99.0	2.0	0.0	77974.0	1131887.0
Lle-CNas_061.clmp.fp2_r2_screen	15440.0	2658.0	1329.0	742.0	415.0	184.0	122.0	104.0	1.0	0.0	78324.0	1131395.0
Lle-CNas_062.clmp.fp2_r1_screen	22232.0	2735.0	1931.0	1132.0	539.0	329.0	188.0	149.0	6.0	0.0	125067.0	1573657.0
Lle-CNas_062.clmp.fp2_r2_screen	22549.0	2711.0	1972.0	1173.0	577.0	364.0	161.0	171.0	7.0	0.0	126869.0	1571411.0
Lle-CNas_063.clmp.fp2_r1_screen	22517.0	2411.0	1762.0	966.0	467.0	288.0	132.0	67.0	3.0	0.0	74516.0	1176387.0
Lle-CNas_063.clmp.fp2_r2_screen	22972.0	2374.0	1691.0	991.0	449.0	302.0	133.0	77.0	4.0	0.0	75288.0	1175235.0
Lle-CNas_064.clmp.fp2_r1_screen	17163.0	2179.0	1496.0	908.0	483.0	250.0	160.0	131.0	11.0	0.0	95818.0	1188996.0
Lle-CNas_064.clmp.fp2_r2_screen	17391.0	2233.0	1564.0	830.0	486.0	263.0	160.0	120.0	6.0	0.0	96854.0	1187688.0
Lle-CNas_065.clmp.fp2_r1_screen	32924.0	3822.0	2753.0	1614.0	716.0	466.0	300.0	244.0	6.0	0.0	174189.0	2181129.0
Lle-CNas_065.clmp.fp2_r2_screen	33633.0	3941.0	2845.0	1462.0	716.0	473.0	275.0	240.0	2.0	0.0	174407.0	2180169.0
Lle-CNas_066.clmp.fp2_r1_screen	13907.0	1590.0	1197.0	732.0	386.0	184.0	108.0	86.0	4.0	0.0	73924.0	1012410.0
Lle-CNas_066.clmp.fp2_r2_screen	14397.0	1615.0	1182.0	675.0	383.0	194.0	119.0	85.0	2.0	0.0	74681.0	1011195.0
Lle-CNas_067.clmp.fp2_r1_screen	27986.0	3120.0	2445.0	1430.0	597.0	439.0	268.0	179.0	4.0	0.0	135524.0	1882862.0
Lle-CNas_067.clmp.fp2_r2_screen	28784.0	2954.0	2500.0	1401.0	623.0	382.0	237.0	170.0	4.0	0.0	137197.0	1880602.0
Lle-CNas_068.clmp.fp2_r1_screen	83200.0	9460.0	6991.0	4482.0	1925.0	1324.0	794.0	693.0	28.0	4.0	478537.0	5832649.0
Lle-CNas_068.clmp.fp2_r2_screen	86390.0	9597.0	7167.0	4335.0	1920.0	1245.0	708.0	684.0	31.0	0.0	483066.0	5824944.0
Lle-CNas_069.clmp.fp2_r1_screen	22436.0	2452.0	1886.0	1070.0	645.0	317.0	158.0	147.0	4.0	0.0	106668.0	1461661.0
Lle-CNas_069.clmp.fp2_r2_screen	22619.0	2520.0	1819.0	1078.0	626.0	305.0	180.0	147.0	7.0	0.0	107441.0	1460702.0
Lle-CNas_070.clmp.fp2_r1_screen	27176.0	3303.0	2255.0	1359.0	684.0	407.0	252.0	179.0	15.0	0.0	139266.0	1785821.0
Lle-CNas_070.clmp.fp2_r2_screen	27928.0	3229.0	2133.0	1305.0	740.0	338.0	267.0	158.0	3.0	0.0	140168.0	1784448.0
Lle-CNas_071.clmp.fp2_r1_screen	28727.0	3310.0	2331.0	1409.0	615.0	432.0	251.0	210.0	13.0	0.0	146378.0	1852633.0
Lle-CNas_071.clmp.fp2_r2_screen	29073.0	3353.0	2321.0	1351.0	592.0	412.0	202.0	201.0	12.0	0.0	146973.0	1851819.0
Lle-CNas_072.clmp.fp2_r1_screen	32416.0	3526.0	2757.0	1510.0	580.0	468.0	256.0	194.0	11.0	1.0	166189.0	2091955.0
Lle-CNas_072.clmp.fp2_r2_screen	32722.0	3499.0	2705.0	1571.0	548.0	487.0	277.0	211.0	7.0	0.0	168641.0	2089195.0
Lle-CNas_073.clmp.fp2_r1_screen	31638.0	3389.0	2685.0	1414.0	588.0	500.0	264.0	232.0	11.0	0.0	161345.0	2081156.0
Lle-CNas_073.clmp.fp2_r2_screen	32523.0	3303.0	2725.0	1429.0	638.0	442.0	292.0	200.0	6.0	0.0	162106.0	2079558.0
Lle-CNas_074.clmp.fp2_r1_screen	30721.0	3322.0	2691.0	1484.0	878.0	462.0	272.0	240.0	12.0	0.0	160322.0	1980264.0
Lle-CNas_074.clmp.fp2_r2_screen	31441.0	3273.0	2692.0	1512.0	905.0	437.0	264.0	191.0	7.0	0.0	160990.0	1978956.0
Lle-CNas_075.clmp.fp2_r1_screen	33804.0	3679.0	2797.0	1578.0	790.0	471.0	299.0	196.0	3.0	0.0	178361.0	2045412.0
Lle-CNas_075.clmp.fp2_r2_screen	34140.0	3632.0	2851.0	1521.0	803.0	469.0	262.0	246.0	4.0	0.0	180091.0	2043371.0
Lle-CNas_076.clmp.fp2_r1_screen	34446.0	3984.0	2987.0	1573.0	785.0	538.0	340.0	239.0	4.0	0.0	179979.0	2230092.0
Lle-CNas_076.clmp.fp2_r2_screen	35236.0	4024.0	2949.0	1617.0	767.0	464.0	312.0	257.0	13.0	0.0	180955.0	2228373.0
Lle-CNas_077.clmp.fp2_r1_screen	25311.0	3165.0	2082.0	1309.0	722.0	382.0	191.0	164.0	10.0	0.0	142968.0	1624548.0
Lle-CNas_077.clmp.fp2_r2_screen	25920.0	3184.0	2178.0	1302.0	711.0	347.0	233.0	157.0	4.0	0.0	143889.0	1622927.0
Lle-CNas_078.clmp.fp2_r1_screen	27106.0	3556.0	2322.0	1279.0	571.0	387.0	215.0	142.0	3.0	0.0	128642.0	1873273.0
Lle-CNas_078.clmp.fp2_r2_screen	28401.0	3452.0	2433.0	1310.0	561.0	389.0	222.0	159.0	6.0	0.0	129327.0	1871236.0
Lle-CNas_079.clmp.fp2_r1_screen	40289.0	6866.0	3513.0	2127.0	863.0	605.0	359.0	295.0	5.0	1.0	235186.0	2812660.0
Lle-CNas_079.clmp.fp2_r2_screen	41631.0	6821.0	3444.0	2092.0	862.0	598.0	381.0	308.0	11.0	0.0	236444.0	2810177.0
Lle-CNas_080.clmp.fp2_r1_screen	25939.0	2854.0	2280.0	1320.0	664.0	442.0	258.0	192.0	10.0	1.0	142384.0	1850594.0
Lle-CNas_080.clmp.fp2_r2_screen	26893.0	2830.0	2156.0	1491.0	712.0	409.0	248.0	188.0	5.0	0.0	144453.0	1847553.0
Lle-CNas_081.clmp.fp2_r1_screen	45190.0	5739.0	3830.0	2138.0	945.0	624.0	427.0	300.0	10.0	0.0	240510.0	2780581.0
Lle-CNas_081.clmp.fp2_r2_screen	46893.0	5555.0	3983.0	2046.0	946.0	634.0	416.0	304.0	7.0	0.0	241393.0	2778117.0
Lle-CNas_082.clmp.fp2_r1_screen	29361.0	3161.0	2547.0	1429.0	538.0	405.0	205.0	276.0	12.0	0.0	150088.0	1820754.0
Lle-CNas_082.clmp.fp2_r2_screen	29903.0	3223.0	2579.0	1433.0	564.0	397.0	245.0	243.0	10.0	0.0	150228.0	1819951.0
Lle-CNas_083.clmp.fp2_r1_screen	42560.0	4354.0	3583.0	1969.0	759.0	589.0	327.0	370.0	24.0	0.0	226436.0	2682850.0
Lle-CNas_083.clmp.fp2_r2_screen	43136.0	4464.0	3655.0	1994.0	732.0	626.0	328.0	337.0	9.0	0.0	228357.0	2680183.0
Lle-CNas_084.clmp.fp2_r1_screen	35256.0	4790.0	3213.0	1858.0	903.0	535.0	315.0	383.0	15.0	0.0	198016.0	2486154.0
Lle-CNas_084.clmp.fp2_r2_screen	36365.0	4681.0	3301.0	1746.0	935.0	515.0	345.0	265.0	9.0	0.0	200126.0	2483150.0
Lle-CNas_085.clmp.fp2_r1_screen	34651.0	4077.0	2915.0	1566.0	710.0	475.0	302.0	211.0	11.0	0.0	184445.0	2277332.0
Lle-CNas_085.clmp.fp2_r2_screen	35397.0	4050.0	2838.0	1533.0	683.0	492.0	342.0	213.0	2.0	0.0	186069.0	2275076.0
Lle-CNas_086.clmp.fp2_r1_screen	27475.0	3251.0	2363.0	1339.0	663.0	377.0	207.0	181.0	17.0	0.0	145360.0	1759162.0
Lle-CNas_086.clmp.fp2_r2_screen	27791.0	3142.0	2427.0	1346.0	661.0	375.0	238.0	204.0	6.0	0.0	146596.0	1757609.0
Lle-CNas_087.clmp.fp2_r1_screen	28690.0	3311.0	2404.0	1426.0	708.0	429.0	243.0	207.0	10.0	0.0	143859.0	1864835.0
Lle-CNas_087.clmp.fp2_r2_screen	29066.0	3302.0	2536.0	1341.0	666.0	392.0	239.0	157.0	5.0	0.0	145015.0	1863403.0
Lle-CNas_088.clmp.fp2_r1_screen	32015.0	3844.0	2744.0	1691.0	731.0	496.0	307.0	208.0	12.0	0.0	176869.0	2083048.0
Lle-CNas_088.clmp.fp2_r2_screen	32377.0	3834.0	2739.0	1671.0	678.0	430.0	281.0	199.0	10.0	0.0	177619.0	2082127.0
Lle-CNas_089.clmp.fp2_r1_screen	29101.0	3155.0	2422.0	1449.0	763.0	387.0	215.0	197.0	3.0	0.0	152611.0	1814994.0
Lle-CNas_089.clmp.fp2_r2_screen	29473.0	3088.0	2457.0	1460.0	776.0	435.0	255.0	185.0	11.0	0.0	152765.0	1814392.0
Lle-CNas_090.clmp.fp2_r1_screen	26953.0	3341.0	2287.0	1543.0	608.0	377.0	295.0	216.0	4.0	0.0	145801.0	1908723.0
Lle-CNas_090.clmp.fp2_r2_screen	27490.0	3324.0	2428.0	1580.0	635.0	346.0	221.0	214.0	3.0	0.0	147484.0	1906423.0
Lle-CNas_091.clmp.fp2_r1_screen	23004.0	2497.0	1984.0	1215.0	546.0	358.0	205.0	133.0	3.0	1.0	117654.0	1652389.0
Lle-CNas_091.clmp.fp2_r2_screen	23227.0	2524.0	2012.0	1184.0	566.0	343.0	203.0	125.0	5.0	0.0	119031.0	1650769.0
Lle-CNas_092.clmp.fp2_r1_screen	66132.0	7228.0	5538.0	3436.0	1259.0	993.0	603.0	457.0	12.0	1.0	379024.0	4698456.0
Lle-CNas_092.clmp.fp2_r2_screen	68430.0	7095.0	5595.0	3403.0	1233.0	948.0	568.0	466.0	19.0	0.0	384671.0	4690711.0
Lle-CNas_093.clmp.fp2_r1_screen	19255.0	2333.0	1619.0	955.0	408.0	278.0	183.0	164.0	9.0	0.0	110856.0	1404821.0
Lle-CNas_093.clmp.fp2_r2_screen	19972.0	2364.0	1669.0	941.0	404.0	268.0	168.0	143.0	6.0	0.0	111666.0	1403280.0
Lle-CNas_094.clmp.fp2_r1_screen	29294.0	3678.0	2535.0	1395.0	808.0	406.0	235.0	213.0	8.0	1.0	153102.0	1914638.0
Lle-CNas_094.clmp.fp2_r2_screen	29510.0	3594.0	2499.0	1491.0	783.0	465.0	242.0	179.0	4.0	0.0	153961.0	1913585.0
Lle-CNas_095.clmp.fp2_r1_screen	66343.0	8040.0	5699.0	3508.0	1219.0	1053.0	640.0	530.0	41.0	1.0	378357.0	4439004.0
Lle-CNas_095.clmp.fp2_r2_screen	67889.0	8301.0	5648.0	3513.0	1212.0	1043.0	597.0	524.0	19.0	0.0	380118.0	4435571.0
Lle-CNas_096.clmp.fp2_r1_screen	48911.0	6648.0	4120.0	2531.0	968.0	701.0	399.0	492.0	13.0	0.0	300050.0	3312915.0
Lle-CNas_096.clmp.fp2_r2_screen	50057.0	6597.0	4116.0	2485.0	995.0	686.0	415.0	519.0	6.0	0.0	302267.0	3309605.0
