Sample	Protists_1k	Human	Fungi_RefSeq_release	Bird	Bacteria_24k	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Lle-AHam_017.clmp.fp2_r1_screen	187051.0	19181.0	15820.0	3833.0	3319.0	1767.0	1011.0	720.0	45.0	0.0	736270.0	4932425.0
Lle-AHam_017.clmp.fp2_r2_screen	191550.0	19413.0	16006.0	3714.0	3368.0	1922.0	1033.0	680.0	32.0	0.0	745463.0	4918261.0
Lle-AHam_018.clmp.fp2_r1_screen	141822.0	14940.0	11926.0	2920.0	2560.0	1511.0	855.0	481.0	21.0	1.0	604437.0	4048399.0
Lle-AHam_018.clmp.fp2_r2_screen	145534.0	15099.0	12164.0	2883.0	2551.0	1452.0	867.0	506.0	12.0	0.0	608617.0	4040188.0
Lle-AHam_019.clmp.fp2_r1_screen	110111.0	15790.0	9501.0	2186.0	1652.0	1068.0	766.0	388.0	11.0	4.0	587083.0	3410981.0
Lle-AHam_019.clmp.fp2_r2_screen	111540.0	15774.0	9530.0	2287.0	1697.0	1050.0	704.0	364.0	28.0	0.0	589311.0	3407256.0
Lle-AHam_020.clmp.fp2_r1_screen	68644.0	30009.0	6186.0	1389.0	9404.0	757.0	468.0	205.0	8.0	0.0	251309.0	2251666.0
Lle-AHam_020.clmp.fp2_r2_screen	70429.0	29293.0	6329.0	1302.0	9277.0	640.0	487.0	184.0	7.0	0.0	254361.0	2247736.0
Lle-AHam_021.clmp.fp2_r1_screen	107135.0	9743.0	9113.0	2047.0	1892.0	1141.0	637.0	361.0	16.0	1.0	503545.0	3412971.0
Lle-AHam_021.clmp.fp2_r2_screen	109569.0	9788.0	9108.0	2073.0	1874.0	1158.0	652.0	349.0	19.0	0.0	504280.0	3409732.0
Lle-AHam_022.clmp.fp2_r1_screen	94161.0	48726.0	8508.0	2009.0	18673.0	1045.0	603.0	375.0	14.0	3.0	360560.0	3034593.0
Lle-AHam_022.clmp.fp2_r2_screen	96432.0	48099.0	8832.0	2053.0	18552.0	1148.0	545.0	328.0	17.0	1.0	364381.0	3028882.0
Lle-AHam_023.clmp.fp2_r1_screen	135045.0	12796.0	11743.0	2789.0	3485.0	1269.0	677.0	612.0	21.0	2.0	549645.0	3535968.0
Lle-AHam_023.clmp.fp2_r2_screen	136951.0	12784.0	11934.0	2876.0	3553.0	1339.0	587.0	576.0	5.0	0.0	553435.0	3530012.0
Lle-AHam_024.clmp.fp2_r1_screen	97620.0	307344.0	8218.0	2133.0	3745.0	975.0	541.0	402.0	14.0	0.0	488053.0	2709762.0
Lle-AHam_024.clmp.fp2_r2_screen	100197.0	301728.0	8516.0	2243.0	3684.0	1079.0	557.0	422.0	13.0	0.0	490606.0	2709762.0
Lle-AHam_025.clmp.fp2_r1_screen	73284.0	8290.0	6050.0	1360.0	2603.0	691.0	341.0	254.0	32.0	0.0	270410.0	2050732.0
Lle-AHam_025.clmp.fp2_r2_screen	74702.0	8270.0	6109.0	1370.0	2611.0	703.0	339.0	304.0	7.0	0.0	273728.0	2045904.0
Lle-AHam_026.clmp.fp2_r1_screen	65918.0	5501.0	5647.0	1434.0	1228.0	705.0	420.0	238.0	41.0	0.0	223124.0	2451680.0
Lle-AHam_026.clmp.fp2_r2_screen	67375.0	5585.0	5817.0	1396.0	1282.0	700.0	427.0	241.0	10.0	0.0	225281.0	2447822.0
Lle-AHam_027.clmp.fp2_r1_screen	68456.0	5917.0	6054.0	1665.0	1693.0	616.0	439.0	262.0	28.0	1.0	231217.0	2551712.0
Lle-AHam_027.clmp.fp2_r2_screen	70178.0	6043.0	6088.0	1487.0	1635.0	816.0	419.0	260.0	8.0	0.0	234289.0	2546837.0
Lle-AHam_028.clmp.fp2_r1_screen	47716.0	4063.0	4062.0	1001.0	695.0	454.0	299.0	167.0	12.0	1.0	165802.0	1731015.0
Lle-AHam_028.clmp.fp2_r2_screen	49527.0	4138.0	4179.0	1039.0	757.0	460.0	316.0	191.0	5.0	0.0	168744.0	1725931.0
Lle-AHam_029.clmp.fp2_r1_screen	96762.0	15924.0	8835.0	1996.0	4030.0	1012.0	467.0	479.0	29.0	0.0	326402.0	3108842.0
Lle-AHam_029.clmp.fp2_r2_screen	100201.0	15796.0	8752.0	2068.0	4025.0	1022.0	473.0	497.0	8.0	1.0	331648.0	3100287.0
