pos	3pG>A
1	0.00412820388368618
2	0.0050375507695639
3	0.00423815193530946
4	0.00422151503904862
5	0.00423174968828276
6	0.00489482022080642
7	0.005839968336372
8	0.00501604795378931
9	0.00526838346533434
10	0.00564088555979372
11	0.00474322503368768
12	0.00498227730662638
13	0.00518766321794787
14	0.00514120494472972
15	0.00513789987571587
16	0.00508938346511016
17	0.00501177736667695
18	0.00504678612547231
19	0.00526757542316241
20	0.00528855421312158
21	0.00525545224059259
22	0.00521292468904678
23	0.00510883844579507
24	0.00512000549631575
25	0.00519751170300648
