pos	3pG>A
1	0.00407287211337044
2	0.00519826664818235
3	0.00433317010397331
4	0.0045004049749548
5	0.00453749998899093
6	0.00513066151829847
7	0.00586501221106643
8	0.00512166965059346
9	0.00535123320841548
10	0.00562774343299704
11	0.00482535495703423
12	0.00510612776410758
13	0.00529773796344603
14	0.00536860900319335
15	0.00551383755405995
16	0.00541053351904141
17	0.00535610910796219
18	0.00540995181923908
19	0.00541911849120969
20	0.00529338821624787
21	0.0054399972438266
22	0.00528156725273191
23	0.00524322324767428
24	0.00535417100062409
25	0.00526907307326752
