"","Position","C.T","G.A"
"1",1,0.188203518040676,0.216650891826535
"2",2,0.206715658401323,0.241500838299634
"3",3,0.218053990934177,0.262245083816377
"4",4,0.229007603913177,0.27574074974477
"5",5,0.242963979298823,0.2810377087088
"6",6,0.257933426618933,0.281093066703572
"7",7,0.272156662511375,0.278326197397697
"8",8,0.280342249603493,0.278766814208063
"9",9,0.2840761569282,0.281706842721711
"10",10,0.283821310681068,0.287150410145763
"11",11,0.282471739759305,0.292485469820474
"12",12,0.280653117122751,0.297339438567176
"13",-12,0.290022297904183,0.288176144299822
"14",-11,0.287710814763523,0.287323659275686
"15",-10,0.284816107927846,0.286163432345527
"16",-9,0.281013278262354,0.28475973239828
"17",-8,0.277626184507326,0.281470695690331
"18",-7,0.274693359970328,0.275818283053049
"19",-6,0.27238874637643,0.267004261256467
"20",-5,0.267905045668498,0.257031607996028
"21",-4,0.259713120542319,0.246418011727999
"22",-3,0.24637939465093,0.235159175248854
"23",-2,0.227884453059098,0.221110236795228
"24",-1,0.204882173177481,0.200489592666521
