pos	5pC>T
1	0.00268409448463694
2	0.00495811039684633
3	0.00391142296294477
4	0.00415693277256972
5	0.0043525254299483
6	0.00483532639151889
7	0.00608576869090998
8	0.00477588704728875
9	0.00538955314605419
10	0.00586046502946331
11	0.0045092203055173
12	0.00463645187009538
13	0.00502701321574576
14	0.00517388752233854
15	0.00504885768273131
16	0.00502155260821158
17	0.00512290160358562
18	0.00513524633857061
19	0.00516094591368471
20	0.00510681207452711
21	0.0051576859102694
22	0.00514414308969005
23	0.00520343271603941
24	0.00518108860726585
25	0.00516496461742963
