"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0162220528596136,0.00311232696784284,5.31899412461941e-06,0.222662155532228,0.573447782168845,-44274.0390523339
"Std.",3.07919121882347e-05,3.7905287919703e-05,5.31138642039283e-06,0.0108954498307851,0.00134068968950129,1.71954963671509
"Acceptance ratio",0.13864,0.1116,0.11992,0.26166,0.23432,0.61862
"0%",0.0160887814111322,0.0029763317711504,2.70729647950216e-09,0.184010671903039,0.568571566032999,-44284.8736696187
"2.5%",0.0161619599583552,0.00304398032987303,1.32447349600229e-07,0.201304234357498,0.570790306360551,-44278.2712882149
"5%",0.016171954182492,0.00305322228475504,2.67709659910011e-07,0.204562489368678,0.571200937828683,-44277.3886671173
"7.5%",0.0161779612695979,0.00305935397748232,3.77489594245764e-07,0.207017514309494,0.571491597284547,-44276.7760455889
"10%",0.0161822816699166,0.00306480485194868,5.552689642878e-07,0.208649558510639,0.571715505332699,-44276.3739316072
"12.5%",0.0161871046736019,0.0030692644753626,6.99435468752531e-07,0.210199114021678,0.571902605686437,-44276.056006403
"15%",0.0161906519109247,0.00307305386878512,8.56186104846259e-07,0.211397092483686,0.572057778019383,-44275.7777524594
"17.5%",0.0161933427554461,0.00307642813864127,1.02702288463441e-06,0.212554178047561,0.572200760173059,-44275.5206049246
"20%",0.0161962943458907,0.00307946556624117,1.21253212060838e-06,0.213432453882796,0.57232895995194,-44275.2988159192
"22.5%",0.0161990313659741,0.00308277939601794,1.39282144220531e-06,0.2144177679166,0.5724510785223,-44275.1103497149
"25%",0.016201374579872,0.0030853266839181,1.53599890325786e-06,0.215268474784755,0.572557153287348,-44274.9371137793
"27.5%",0.016203689792208,0.0030880611775696,1.73136072384475e-06,0.216058820728565,0.572664998051787,-44274.7873504468
"30%",0.0162059221534314,0.003090803382782,1.86961843268893e-06,0.216905640927998,0.572764012392358,-44274.6412545399
"32.5%",0.0162083588160849,0.00309312208060731,2.04621394461056e-06,0.217700714820102,0.572854575426128,-44274.5140371434
"35%",0.0162103489437061,0.0030957976105274,2.31739386129967e-06,0.218438650562259,0.572942063940942,-44274.3893052538
"37.5%",0.0162123545359306,0.00309831908543571,2.51062682467743e-06,0.219203234961786,0.573023499228604,-44274.2686170144
"40%",0.016214110240622,0.00310110609646801,2.68991476636591e-06,0.2199134712314,0.573113461095796,-44274.1491249506
"42.5%",0.0162159032986877,0.00310370906269186,2.92763559984049e-06,0.220577651829583,0.573197527276977,-44274.0275127526
"45%",0.0162180180984699,0.00310622201373893,3.14048135508088e-06,0.221230087833715,0.573273349018006,-44273.9168835172
"47.5%",0.0162202629846626,0.00310819508120463,3.4263680816957e-06,0.221937695613396,0.573352774797056,-44273.8164188076
"50%",0.0162222052355322,0.00311083460123461,3.71167232166838e-06,0.222631222027205,0.573424703289704,-44273.7146994643
"52.5%",0.0162243749787709,0.00311315105738137,3.99826744022773e-06,0.223345853919765,0.573513024614252,-44273.6169971564
"55%",0.0162263352190065,0.00311549162830225,4.23755506498491e-06,0.224084681349356,0.573605066464157,-44273.5135561872
"57.5%",0.0162281112446013,0.00311808130209733,4.56133055044967e-06,0.224757191608262,0.573688450732121,-44273.4247548126
"60%",0.0162298404403489,0.00312068010646145,4.93074326298587e-06,0.225515420638291,0.573770810422551,-44273.3289660681
"62.5%",0.0162319039084129,0.00312368547246209,5.26828285316983e-06,0.226184733266927,0.57385993635384,-44273.2309360403
"65%",0.0162339453160605,0.00312609221674998,5.6362035727245e-06,0.226893965385581,0.573965599029277,-44273.1358229969
"67.5%",0.0162357713141845,0.00312887630646546,5.94547347514748e-06,0.22763271638356,0.574067589516427,-44273.0436238713
"70%",0.0162381479119151,0.00313188898425915,6.34157715500777e-06,0.228360468277526,0.574152741408013,-44272.94996314
"72.5%",0.0162400464602984,0.00313474532888351,6.84055050822871e-06,0.229122084763803,0.574264867653672,-44272.860070439
"75%",0.0162424533384505,0.00313776847550212,7.3292556983523e-06,0.230040554815495,0.574360435753526,-44272.7717097786
"77.5%",0.0162446671947049,0.00314103474920843,7.94625489786811e-06,0.23081407838183,0.574468046186209,-44272.6784022158
"80%",0.0162471377460353,0.003144725459775,8.61627313373182e-06,0.231927439117483,0.574572102385484,-44272.5826251002
"82.5%",0.0162508195357919,0.00314804436161917,9.29085333791168e-06,0.232876247603328,0.574700353770515,-44272.4871756616
"85%",0.0162538649932109,0.00315112563853889,1.00504833933091e-05,0.233924847323474,0.57483141298663,-44272.3874601878
"87.5%",0.0162582288869672,0.00315513141358277,1.09831709357955e-05,0.235165751770718,0.574998614322322,-44272.2789439707
"90%",0.0162612622010964,0.00316093837825694,1.20943340168714e-05,0.236455987573188,0.575158711293396,-44272.151357104
"92.5%",0.0162665987947217,0.00316683542658868,1.37014561952894e-05,0.238278129375448,0.575345694048112,-44272.0038861041
"95%",0.0162725970631941,0.00317631470412844,1.58073922608659e-05,0.240704218552625,0.575618201492411,-44271.8535401323
"97.5%",0.0162826586575647,0.00319202744454748,1.99631414026852e-05,0.244145404323345,0.5760733728964,-44271.678391981
"100%",0.0163261361147111,0.00327175843923767,4.45163906956674e-05,0.262462489125532,0.578747536476788,-44271.088322704
