pos	5pC>T
1	0.00256553529043751
2	0.00532811235328894
3	0.00401436194085673
4	0.004176792651777
5	0.0044643753171943
6	0.00467970275968934
7	0.00632250148991882
8	0.00496817953093399
9	0.00548709278664707
10	0.00582769358781659
11	0.00433691199645613
12	0.00463979916618102
13	0.00517370953919177
14	0.00506253441782874
15	0.00514939257230215
16	0.00512859798713815
17	0.00531450964221332
18	0.00515653927305038
19	0.00506877884031157
20	0.00494479765511197
21	0.00512115708699422
22	0.00524301411580724
23	0.00504756066425188
24	0.00500048427490211
25	0.00516773645930997
