pos	5pC>T
1	0.0027805740838961
2	0.0047877057457595
3	0.0039460804388121
4	0.00418165918242111
5	0.00429287820972892
6	0.0047531523278996
7	0.0059908365592638
8	0.00471084910551723
9	0.0051601763106291
10	0.0058585994282655
11	0.0045534369772787
12	0.00463623512259035
13	0.00499461048885428
14	0.00513305079587902
15	0.00506148517004455
16	0.00507258865953666
17	0.00512733896078248
18	0.00515710741870879
19	0.00510891143475964
20	0.00506680925913395
21	0.00512203480584299
22	0.00509904155055585
23	0.00511191705724623
24	0.00514706409135848
25	0.00509213624756889
