Missing data from input file lle.rename.genepop.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [Lle-AHam_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1            2             0000          4008
       2           12             0000          2007
       3           13             0000           827
       4           12             0000          1069
       5           71             0000          1326
       6           12             0000           754
       7           32             0000          4668
       8            2             0000          2814
       9            2             0000           636
      10            2             0000          5176
      11           13             0000          1842
      12           32             0000          1167
      13            2             0000          1087
      14           13             0000           494
      15            2             0000          1445
      16            2             0000          2816
      17           12             0000          2353
      18            2             0000          4139
      19            2             0000          2479
      20            2             0000          2466
      21           12             0000          3271
      22            2             0000          4097
      23            2             0000          5305
      24           12             0000          3529
      25           13             0000          3535
      26           32             0000          1786
      27            2             0000          1835
-----------------------------------------------------------
Total missing data for population    1:        66931

Population 2 [Lle-CNas_001]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          396             0000           169
       2          254             0000           689
       3          300             0000           284
       4          458             0000           159
       5           32             0000          1303
       6         2361             0000            32
       7           38             0000           463
       8           13             0000           312
       9          300             0000           257
      10           38             0000           494
      11          261             0000           558
      12           76             0000           145
      13           69             0000           754
      14         2891             0000            58
      15           32             0000           319
      16          341             0000           123
      17         1130             0000            42
      18           13             0000           311
      19          215             0000           883
      20         1694             0000           216
      21          394             0000            44
      22          191             0000           291
      23         4928             0000            66
      24          583             0000           324
      25         1461             0000           183
      26           38             0000          5325
      27           89             0000           578
      28          297             0000           226
      29           13             0000          1163
      30          359             0000           136
      31            2             0000          3153
      32          302             0000           428
      33         1461             0000            13
      34          458             0000           344
      35         1913             0000            57
      36           13             0000           159
      37          546             0000           158
      38         2147             0000            55
      39          396             0000           171
      40         1117             0000           119
      41          374             0000           182
      42          394             0000            39
      43          297             0000           429
      44         1461             0000            30
      45          301             0000           248
      46           89             0000           637
      47           38             0000           234
      48           13             0000           716
      49          254             0000           308
      50          300             0000           382
      51           32             0000          3758
      52          229             0000           246
      53         1453             0000            92
      54           70             0000           431
      55         1370             0000            16
      56          341             0000           209
      57          439             0000           164
      58         2628             0000           127
      59           76             0000           543
      60           13             0000          1913
      61          120             0000           923
      62           89             0000          1935
      63          300             0000           164
      64           38             0000          2298
      65          260             0000           329
      66         6411             0000            38
      67          158             0000           758
      68          120             0000           477
      69           89             0000           296
      70          441             0000           171
      71          458             0000           229
      72          300             0000           250
      73          394             0000           219
      74          796             0000           176
      75          297             0000           713
      76          681             0000           247
      77          692             0000           138
      78          300             0000           355
      79          861             0000           100
      80          396             0000           296
      81         1461             0000           118
      82          341             0000           132
      83          555             0000           176
      84           89             0000           404
      85           89             0000           282
      86         1359             0000           181
      87          341             0000           341
      88           38             0000           287
      89           89             0000           531
      90         3182             0000            29
      91           13             0000          1662
      92          341             0000           278
      93        16447             0000             5
      94          852             0000            57
-----------------------------------------------------------
Total missing data for population    2:        45863

