pos	5pC>T
1	0.0029337245876434
2	0.00475215611534796
3	0.00401181689836563
4	0.00431998397886736
5	0.0042448059002706
6	0.00487601769736917
7	0.0059652601013101
8	0.00484281939094195
9	0.00532268029083728
10	0.00598846476703062
11	0.00458532241013873
12	0.00459413725146259
13	0.00514092863693977
14	0.00521162494618929
15	0.00515550840003318
16	0.00519674999258666
17	0.00523802201829118
18	0.00525733980466889
19	0.00527534382032478
20	0.00520643394909635
21	0.00519243277653995
22	0.005326267529165
23	0.005143433137679
24	0.00506568182880651
25	0.00525077869329817
