"","Position","C.T","G.A"
"1",1,0.207631345176077,0.239544805891602
"2",2,0.230344796608304,0.265178658179801
"3",3,0.244397005187469,0.285914722783741
"4",4,0.256332553838403,0.29970592193064
"5",5,0.269723160855823,0.305923378406058
"6",6,0.283251425048452,0.307312992961634
"7",7,0.295598123924099,0.306160497363321
"8",8,0.303001605503713,0.30704822736942
"9",9,0.306916432162425,0.309387355460127
"10",10,0.307470938005885,0.313567095052101
"11",11,0.307271521855582,0.317351515311263
"12",12,0.307213196074818,0.320140686638525
"13",-12,0.311848793925511,0.315622635581945
"14",-11,0.311714895073421,0.312986777902093
"15",-10,0.309912558023018,0.311154576857876
"16",-9,0.307156577750228,0.30914907537077
"17",-8,0.304530432385622,0.305532510039179
"18",-7,0.301061318724015,0.300784345023948
"19",-6,0.297161300182971,0.293824501749726
"20",-5,0.29191523870536,0.284643621843828
"21",-4,0.284071361914525,0.273225172150687
"22",-3,0.270694392480132,0.260757849173221
"23",-2,0.251060009852507,0.245275246142255
"24",-1,0.224787865488491,0.223065024803324
