"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0161636406935246,0.00343793308521185,2.53190311940698e-05,0.256570052431581,0.551689495830784,-12572.0629667185
"Std.",5.68215401652804e-05,6.93555194375305e-05,2.53778753804699e-05,0.0225578300624044,0.00244208309532647,1.75164976399722
"Acceptance ratio",0.12952,0.20538,0.13818,0.27696,0.21884,0.6625
"0%",0.0159517456318268,0.00316873384530488,5.54824960253371e-11,0.16361753092346,0.543182366989098,-12585.013371588
"2.5%",0.0160533112126474,0.00330602246647178,6.00782082597917e-07,0.214448150298091,0.546869474632854,-12576.3509966529
"5%",0.0160716667423947,0.00332755142394415,1.21293402874113e-06,0.220239027667846,0.547585432920318,-12575.3932829941
"7.5%",0.0160824391310263,0.00334010674852544,1.80078105025155e-06,0.224269772318468,0.548136594492434,-12574.7969071568
"10%",0.0160920548754198,0.0033513793016305,2.4667782141154e-06,0.227388582095152,0.548532327779384,-12574.3885245904
"12.5%",0.0160978510954805,0.00335960538822195,3.14236752567358e-06,0.230374966836174,0.548863011908868,-12574.060719496
"15%",0.0161040597101804,0.00336732422394781,3.92233612720006e-06,0.233059736302922,0.549177903130447,-12573.7835699833
"17.5%",0.0161103569835123,0.00337421771431242,4.69651897190737e-06,0.235471719803486,0.549453111452994,-12573.5698470216
"20%",0.0161160467153491,0.00337929430246574,5.45363237332721e-06,0.237522813740635,0.549650967331402,-12573.3683920007
"22.5%",0.0161201709202415,0.00338530543256888,6.19266839091987e-06,0.239421871493504,0.549876492294789,-12573.1715895248
"25%",0.016125236748201,0.00339057288980617,6.91757850744516e-06,0.241023201390768,0.550069273461748,-12573.0008300202
"27.5%",0.0161304698331999,0.00339517100527885,7.66246119436214e-06,0.242847607607407,0.550265496241442,-12572.8440592674
"30%",0.0161346481873379,0.00339951843682003,8.78717723680788e-06,0.244721407583118,0.550452887173178,-12572.6851732962
"32.5%",0.0161382345400869,0.00340451879245088,9.71270237156003e-06,0.246039150535565,0.550610026394388,-12572.5448576886
"35%",0.0161409658468921,0.00340957397539916,1.07353517365042e-05,0.247682559914247,0.550749781034533,-12572.4048317024
"37.5%",0.0161444783745142,0.00341360582696885,1.1757309147304e-05,0.249137511247466,0.550916411059855,-12572.2825207951
"40%",0.0161481557518477,0.00341798207623895,1.28695411181848e-05,0.250570797551762,0.551090694602564,-12572.1662189283
"42.5%",0.0161522576683112,0.00342260449820224,1.40071525885388e-05,0.251894025356055,0.551240156289105,-12572.0457151967
"45%",0.0161564267793041,0.00342701156148421,1.53332318034263e-05,0.253293475578952,0.55138642601327,-12571.9310543169
"47.5%",0.0161605963169107,0.00343168433102615,1.64208982976201e-05,0.25479358015658,0.551531517641704,-12571.8214420306
"50%",0.0161640436870347,0.00343611093510196,1.75207079629092e-05,0.256186001795992,0.551676272692307,-12571.7224864576
"52.5%",0.0161668306445438,0.0034403602447476,1.86686527931395e-05,0.257527167333851,0.551851334888121,-12571.6237089595
"55%",0.0161702021778055,0.00344558849893538,2.01820487075294e-05,0.258992446931553,0.551998523209231,-12571.5273484382
"57.5%",0.0161740531378354,0.00344931644130535,2.14969502460734e-05,0.260396612459384,0.552155398376188,-12571.4300950468
"60%",0.0161776851786737,0.00345392512766143,2.30867402800719e-05,0.261674225669825,0.552309773156762,-12571.3303918117
"62.5%",0.0161814216718297,0.00345879267725788,2.497200797557e-05,0.263094876003996,0.552466717277292,-12571.2372189737
"65%",0.0161850393318565,0.00346338570026217,2.66636197176991e-05,0.264604229689212,0.552617648939052,-12571.1435810613
"67.5%",0.0161887871184202,0.00346790285895401,2.86750616320019e-05,0.266161203191045,0.552779491849888,-12571.0583456399
"70%",0.0161929828650667,0.00347309847813909,3.05651102571584e-05,0.267748376350105,0.552945922097404,-12570.9666733955
"72.5%",0.0161978109685702,0.00347870804025719,3.28994587280299e-05,0.269588187362413,0.553114548908546,-12570.8747954156
"75%",0.016202319613077,0.00348361141690462,3.54051673268444e-05,0.271235796197461,0.553285774598476,-12570.780112008
"77.5%",0.0162068477559596,0.0034895690657116,3.81306447572116e-05,0.273110243833447,0.553481909007692,-12570.6830502292
"80%",0.0162123094178359,0.00349518709982902,4.1209219543073e-05,0.275265020261513,0.553689100450592,-12570.5908561584
"82.5%",0.0162184642986338,0.00350106206625232,4.43523900401396e-05,0.277578876734634,0.553960481962347,-12570.492546912
"85%",0.0162244748072312,0.00350903868993765,4.8441296440192e-05,0.279923336986179,0.554191643326411,-12570.3816581997
"87.5%",0.0162301791494739,0.00351800248241477,5.3215802307004e-05,0.282831639318157,0.554498245403434,-12570.269544951
"90%",0.0162367239655391,0.00352786747404418,5.90173427691764e-05,0.285608561813301,0.554792143702767,-12570.1616780819
"92.5%",0.0162445812054261,0.00353916534614946,6.69017910147252e-05,0.289558809972879,0.555160487233637,-12570.0307086932
"95%",0.0162566974224533,0.00355454871335101,7.66830563612608e-05,0.294387296204122,0.55575715713457,-12569.8683071345
"97.5%",0.0162727491995162,0.00357953413052314,9.38432299014799e-05,0.302459844231854,0.556591286280301,-12569.6776083715
"100%",0.0164109020245663,0.00371746386947891,0.000258044603790391,0.349859597737747,0.56155947605478,-12569.0997554766
