pos	3pG>A
1	0.004042705500288
2	0.00467590058368032
3	0.00438341066625186
4	0.00434320296400609
5	0.00443876081097194
6	0.00515589118530295
7	0.00564225491987492
8	0.00510583573036833
9	0.00533697442823432
10	0.00544609912302564
11	0.00492593435750901
12	0.00497555530360133
13	0.00519923101640025
14	0.00522574245521222
15	0.00526220322967661
16	0.00529930443158561
17	0.00515907136715391
18	0.00524210152051333
19	0.00521961480020691
20	0.0052136399657141
21	0.00527526024499521
22	0.0053171496364672
23	0.00524648524708864
24	0.00528182937141212
25	0.00534654769686007
