Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Lle-AHam_001.1	86.04379868195414	45.0	150.0	18.181818181818183	21932929.0
Lle-AHam_001.2	82.80216653308676	45.0	150.0	36.36363636363637	21932929.0
Lle-AHam_002.1	83.82532140743407	45.0	150.0	18.181818181818183	19843785.0
Lle-AHam_002.2	81.39924970028265	46.0	150.0	36.36363636363637	19843785.0
Lle-AHam_003.1	78.56239002889573	45.0	150.0	18.181818181818183	23808802.0
Lle-AHam_003.2	75.54290486304919	45.0	150.0	27.27272727272727	23808802.0
Lle-AHam_004.1	79.84576333014289	46.0	150.0	18.181818181818183	23226370.0
Lle-AHam_004.2	76.69581494271094	46.0	150.0	36.36363636363637	23226370.0
Lle-AHam_005.1	79.88362607659255	45.0	150.0	18.181818181818183	22151680.0
Lle-AHam_005.2	77.28499533417023	45.0	150.0	36.36363636363637	22151680.0
Lle-AHam_006.1	76.4455155391284	46.0	150.0	18.181818181818183	24665007.0
Lle-AHam_006.2	73.89233439045252	46.0	150.0	27.27272727272727	24665007.0
Lle-AHam_007.1	84.85007372493165	45.0	150.0	18.181818181818183	18496683.0
Lle-AHam_007.2	81.88211003512168	45.0	150.0	36.36363636363637	18496683.0
Lle-AHam_008.1	72.29891312846598	47.0	150.0	18.181818181818183	7032936.0
Lle-AHam_008.2	69.93344813059234	47.0	150.0	36.36363636363637	7032936.0
Lle-AHam_009.1	82.53780282682584	45.0	150.0	18.181818181818183	18956050.0
Lle-AHam_009.2	79.680632449213	45.0	150.0	36.36363636363637	18956050.0
Lle-AHam_010.1	78.86886521845786	46.0	150.0	18.181818181818183	24876944.0
Lle-AHam_010.2	76.13570500587856	46.0	150.0	27.27272727272727	24876944.0
Lle-AHam_011.1	84.34572786611936	46.0	150.0	27.27272727272727	11715924.0
Lle-AHam_011.2	81.63434149293586	47.0	150.0	36.36363636363637	11715924.0
Lle-AHam_012.1	82.14867735148734	46.0	150.0	27.27272727272727	15070281.0
Lle-AHam_012.2	79.90914966634392	46.0	150.0	45.45454545454545	15070281.0
Lle-AHam_013.1	77.79905450947072	50.0	150.0	36.36363636363637	1350459.0
Lle-AHam_013.2	74.52775051508607	52.0	150.0	45.45454545454545	1350459.0
Lle-AHam_014.1	79.80427956844453	46.0	150.0	18.181818181818183	23822943.0
Lle-AHam_014.2	77.36601712268222	46.0	150.0	27.27272727272727	23822943.0
Lle-AHam_015.1	76.93992170931676	46.0	150.0	18.181818181818183	22730421.0
Lle-AHam_015.2	74.36887675241846	46.0	150.0	27.27272727272727	22730421.0
Lle-AHam_016.1	83.17645104563783	46.0	150.0	36.36363636363637	5717278.0
Lle-AHam_016.2	79.98559928802476	47.0	150.0	36.36363636363637	5717278.0
Lle-AHam_017.1	80.80449394750866	46.0	150.0	18.181818181818183	27969205.0
Lle-AHam_017.2	77.70700408053997	46.0	150.0	18.181818181818183	27969205.0
Lle-AHam_018.1	80.26918698407766	45.0	150.0	18.181818181818183	23747869.0
Lle-AHam_018.2	77.88006610959678	46.0	150.0	27.27272727272727	23747869.0
Lle-AHam_019.1	74.32341491176102	46.0	150.0	18.181818181818183	17673539.0
Lle-AHam_019.2	72.24891690069575	46.0	150.0	27.27272727272727	17673539.0
Lle-AHam_020.1	85.14230719810672	45.0	150.0	36.36363636363637	15155774.0
Lle-AHam_020.2	82.29930892489841	46.0	150.0	45.45454545454545	15155774.0
Lle-AHam_021.1	75.58776683071355	46.0	150.0	18.181818181818183	17206867.0
Lle-AHam_021.2	73.234531508555	46.0	150.0	27.27272727272727	17206867.0
Lle-AHam_022.1	85.71364581953196	46.0	150.0	27.27272727272727	21061422.0
Lle-AHam_022.2	82.77242414824227	46.0	150.0	36.36363636363637	21061422.0
Lle-AHam_023.1	82.88614866843903	47.0	150.0	18.181818181818183	22058982.0
Lle-AHam_023.2	80.10486142260226	47.0	150.0	27.27272727272727	22058982.0
Lle-AHam_024.1	83.25966377684408	47.0	150.0	27.27272727272727	18447556.0
Lle-AHam_024.2	80.22033193639554	47.0	150.0	36.36363636363637	18447556.0
Lle-AHam_025.1	81.45060276338045	46.0	150.0	18.181818181818183	11928940.0
Lle-AHam_025.2	78.90433639678946	46.0	150.0	36.36363636363637	11928940.0
Lle-AHam_026.1	78.61165850262084	45.0	150.0	18.181818181818183	13287605.0
Lle-AHam_026.2	76.25021765476814	45.0	150.0	27.27272727272727	13287605.0
Lle-AHam_027.1	79.27690168879141	46.0	150.0	27.27272727272727	13567772.0
Lle-AHam_027.2	76.21801268118395	46.0	150.0	36.36363636363637	13567772.0
Lle-AHam_028.1	74.2636212643917	46.0	150.0	18.181818181818183	8120824.0
Lle-AHam_028.2	71.95423771982658	46.0	150.0	27.27272727272727	8120824.0
Lle-AHam_029.1	83.65943591925105	47.0	150.0	27.27272727272727	18788164.0
Lle-AHam_029.2	80.38800320493937	47.0	150.0	45.45454545454545	18788164.0
Lle-AHam_030.1	83.12306317601433	46.0	150.0	18.181818181818183	21205722.0
Lle-AHam_030.2	80.29078370845059	46.0	150.0	36.36363636363637	21205722.0
Lle-AHam_031.1	83.17412879328126	46.0	150.0	18.181818181818183	28677229.0
Lle-AHam_031.2	80.4305228922359	46.0	150.0	27.27272727272727	28677229.0
Lle-AHam_032.1	79.01614954758618	46.0	150.0	18.181818181818183	21434255.0
Lle-AHam_032.2	76.90697945146917	46.0	150.0	36.36363636363637	21434255.0
Lle-CNas_001.1	55.06500392695709	47.0	150.0	18.181818181818183	4923806.0
Lle-CNas_001.2	52.141781352993014	47.0	150.0	18.181818181818183	4923806.0
Lle-CNas_002.1	56.352524924115016	47.0	150.0	27.27272727272727	3888858.0
Lle-CNas_002.2	53.41432128249804	48.0	150.0	36.36363636363637	3888858.0
Lle-CNas_003.1	54.9432949066336	47.0	150.0	18.181818181818183	4666982.0
Lle-CNas_003.2	51.73398699642467	47.0	150.0	18.181818181818183	4666982.0
Lle-CNas_004.1	61.74622953065108	46.0	150.0	18.181818181818183	6199889.0
Lle-CNas_004.2	58.251927877866564	47.0	150.0	18.181818181818183	6199889.0
Lle-CNas_005.1	54.983181544125884	48.0	150.0	27.27272727272727	3017823.0
Lle-CNas_005.2	51.41637041432446	49.0	150.0	36.36363636363637	3017823.0
Lle-CNas_006.1	55.46882127399514	47.0	150.0	27.27272727272727	11263130.0
Lle-CNas_006.2	52.035845362438366	48.0	150.0	27.27272727272727	11263130.0
