pos	3pG>A
1	0.00403311592051178
2	0.00483524720048556
3	0.00436787951858837
4	0.004297175084995
5	0.004320065135762
6	0.0051346019958227
7	0.00549118930861669
8	0.00494521014822369
9	0.00512934300810729
10	0.00529179917003916
11	0.00499357034504532
12	0.0049292999373794
13	0.00530784455355955
14	0.00530597573997296
15	0.00496014171833481
16	0.00522606268357855
17	0.00518712936089753
18	0.00527278082798846
19	0.00512766903443676
20	0.00523336977210933
21	0.00501272022383363
22	0.00513014106894496
23	0.00509730682170645
24	0.00524119188585849
25	0.00529830241325694
