pos	3pG>A
1	0.0040696351815711
2	0.004878468525492
3	0.00449826246220117
4	0.00451716334817448
5	0.00461665221412047
6	0.00493326287947315
7	0.00548447657191988
8	0.00504163566138691
9	0.00528111527414204
10	0.00553775372612144
11	0.00491714884741922
12	0.00486033830780874
13	0.00518310425240629
14	0.00505618847893231
15	0.00513839869372731
16	0.00506886161284282
17	0.00525365060818715
18	0.00513937443221641
19	0.0052211838183028
20	0.00513967207364695
21	0.00492263819458001
22	0.00510620538103478
23	0.00508722880945284
24	0.00522913967625746
25	0.00534919420012229
