pos	3pG>A
1	0.00422805390566624
2	0.00512638303617746
3	0.00444927848827116
4	0.00439386905905568
5	0.00453427248161296
6	0.00504143676579162
7	0.00550203797523871
8	0.00516265618730023
9	0.00526088492795728
10	0.00569327690976685
11	0.00488163267471298
12	0.005152454841763
13	0.00533481522645179
14	0.00520385897981309
15	0.00517582085924089
16	0.00530924779207427
17	0.0052553048572341
18	0.00538620565260222
19	0.00523696289332522
20	0.00524042860449991
21	0.00525914990364182
22	0.00542596447002175
23	0.0053962946910752
24	0.00530240931604052
25	0.00541457041999055
