pos	3pG>A
1	0.0273184194583436
2	0.0376251202114506
3	0.0202640793571588
4	0.0169942881984552
5	0.0147599845586423
6	0.017670301601584
7	0.0174196369380933
8	0.0141130025482899
9	0.0136655975143035
10	0.0154406868931798
11	0.0122042861118842
12	0.0126712658668702
13	0.0127783310906304
14	0.013073835947418
15	0.0131506464242075
16	0.0127995389456596
17	0.0120504369926132
18	0.0124140135003403
19	0.0124160900990609
20	0.0119479078553139
21	0.0124406503175948
22	0.0125372366152103
23	0.0124987945499883
24	0.0123756569886405
25	0.0120474108207654
