"","Position","C.T","G.A"
"1",1,0.190803604018176,0.234978914499433
"2",2,0.216741269920393,0.258104726311755
"3",3,0.232286477123044,0.276877123636614
"4",4,0.244317291782909,0.289523903636077
"5",5,0.257755392733419,0.294471820701476
"6",6,0.272467682180035,0.29347512988053
"7",7,0.286706771539154,0.289159439798774
"8",8,0.294146192399692,0.288796386656771
"9",9,0.296462529735765,0.291729425035474
"10",10,0.293871882548248,0.298208821503157
"11",11,0.289235698326939,0.305554794538721
"12",12,0.284751811657186,0.311852710550888
"13",-12,0.304015355407752,0.293052494632226
"14",-11,0.299903196318733,0.295074467388479
"15",-10,0.294800830467122,0.297290076353526
"16",-9,0.290378827017019,0.29778200563783
"17",-8,0.288600164652457,0.29433196883581
"18",-7,0.287744973453918,0.288126753854025
"19",-6,0.286615277415196,0.279620026044976
"20",-5,0.2819480278858,0.271162029502679
"21",-4,0.273516274165452,0.261661478298093
"22",-3,0.260722332345111,0.249731520375217
"23",-2,0.242447941992422,0.23350142390245
"24",-1,0.218411023505637,0.208586305575791
